Year,2022,2021,2020
Revenue,65.68,44.06,27.24
Revenue Growth (YoY),49.07%,61.76%,-
Gross Profit,65.68,44.06,27.24
"Selling, General & Admin",27.28,21.14,16.85
Other Operating Expenses,7.91,8.87,4.17
Operating Expenses,35.18,30.01,21.02
Operating Income,30.5,14.05,6.21
Pretax Income,30.5,14.05,6.21
Income Tax,6.94,3.2,1.24
Net Income,23.56,10.85,4.97
Net Income Growth,117.09%,118.15%,-
Shares Outstanding (Basic),7,5,4
Shares Outstanding (Diluted),-,5,4
Shares Change,53.27%,12.58%,-
EPS (Basic),3.74,2.32,1.20
EPS (Diluted),3.68,2.28,1.18
EPS Growth,61.40%,93.22%,-
Free Cash Flow Per Share,3.28,2.38,-0.13
Dividend Per Share,0.200,-,-
Gross Margin,100.00%,100.00%,100.00%
Operating Margin,46.43%,31.90%,22.82%
Profit Margin,35.87%,24.63%,18.26%
Free Cash Flow Margin,36.43%,25.22%,-1.93%
Effective Tax Rate,22.75%,22.78%,19.95%
EBITDA,32.24,15.53,7.56
EBITDA Margin,49.09%,35.25%,27.76%
Depreciation & Amortization,1.74,1.48,1.35
EBIT,30.5,14.05,6.21
EBIT Margin,46.43%,31.90%,22.82%
