Year,2022,2021,2020,2019,2018,2017
Revenue,109.36,150.03,127.61,68.33,63.44,63.48
Revenue Growth (YoY),-27.10%,17.57%,86.76%,7.71%,-0.07%,-
Gross Profit,109.36,150.03,127.61,68.33,63.44,63.48
"Selling, General & Admin",63.55,87.13,81.2,42.77,42.19,46.34
Other Operating Expenses,17.89,16.6,11.87,12.05,10.76,11.36
Operating Expenses,81.44,103.73,93.08,54.81,52.95,57.69
Operating Income,27.92,46.3,34.54,13.51,10.49,5.79
Pretax Income,27.92,46.3,34.54,13.51,10.49,5.79
Income Tax,6.09,10.72,8.1,3.03,2.33,2.75
Net Income,21.83,35.59,26.44,10.48,8.16,3.03
Preferred Dividends,0,0,0,0,0,1.17
Net Income Common,21.83,35.59,26.44,10.48,8.16,1.87
Net Income Growth,-38.66%,34.60%,152.25%,28.40%,337.69%,-
Shares Outstanding (Basic),12,12,12,13,13,-
Shares Outstanding (Diluted),12,12,-,-,-,-
Shares Change,-1.68%,1.20%,-4.26%,-0.02%,-,-
EPS (Basic),1.85,2.96,2.16,0.82,0.64,0.25
EPS (Diluted),1.79,2.87,2.13,0.81,0.64,0.24
EPS Growth,-37.63%,34.43%,161.96%,28.35%,159.18%,-
Free Cash Flow Per Share,6.93,13.27,-12.98,1.63,0.73,-
Dividend Per Share,0.900,0.787,0.125,-,-,-
Dividend Growth,14.36%,529.60%,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,25.53%,30.86%,27.06%,19.78%,16.54%,9.12%
Profit Margin,19.96%,23.72%,20.72%,15.34%,12.87%,2.94%
Free Cash Flow Margin,74.76%,106.48%,-124.76%,30.48%,14.80%,12.71%
Effective Tax Rate,21.82%,23.15%,23.45%,22.44%,22.18%,47.60%
EBITDA,26.51,40.38,31.65,14.18,11.91,6.75
EBITDA Margin,24.24%,26.91%,24.80%,20.75%,18.78%,10.63%
Depreciation & Amortization,-1.41,-5.92,-2.89,0.66,1.42,0.96
EBIT,27.92,46.3,34.54,13.51,10.49,5.79
EBIT Margin,25.53%,30.86%,27.06%,19.78%,16.54%,9.12%
