Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Revenue,524.55,441.78,240.07,188.39,198.75,241.42,123.65,106.11,71.96,68.11,Upgrade
Revenue Growth (YoY),18.74%,84.02%,27.43%,-5.21%,-17.67%,95.24%,16.53%,47.45%,5.65%,40.68%,Upgrade
Gross Profit,524.55,441.78,240.07,188.39,198.75,241.42,123.65,106.11,71.96,68.11,Upgrade
"Selling, General & Admin",256.24,196.82,165.68,144.06,130.26,116.22,91.34,63.86,47.73,33.91,Upgrade
Other Operating Expenses,41.77,30.98,27,20.26,22.45,26.26,11.91,7.86,6.8,6.26,Upgrade
Operating Expenses,298.01,227.8,192.68,164.32,152.7,142.48,103.25,71.72,54.53,40.17,Upgrade
Operating Income,226.54,213.98,47.39,24.07,46.05,98.94,20.4,34.4,17.44,27.94,Upgrade
Other Expense / Income,16.22,3.19,-,0.6,-,0.69,3.19,-0.02,-,-0.12,Upgrade
Pretax Income,210.32,210.79,47.39,23.47,46.05,98.25,17.22,34.42,17.44,28.06,Upgrade
Income Tax,34.12,43.79,-12.15,5.43,-5.4,-2.25,3.44,13.8,7.39,0,Upgrade
Net Income,176.21,167,59.54,18.03,51.45,100.5,13.77,20.63,10.05,28.06,Upgrade
Net Income Growth,5.52%,180.46%,230.17%,-64.95%,-48.81%,629.68%,-33.22%,105.26%,-64.19%,74.35%,Upgrade
Shares Outstanding (Basic),44,43,41,40,40,40,34,34,33,-,Upgrade
Shares Change,1.34%,6.79%,0.88%,0.35%,0.68%,16.48%,0.18%,4.64%,-,-,Upgrade
EPS (Basic),4.02,3.87,1.46,0.45,1.28,2.75,0.40,0.66,0.42,1.38,Upgrade
EPS (Diluted),3.92,3.71,1.43,0.44,1.24,2.65,0.39,0.65,0.41,1.37,Upgrade
EPS Growth,5.66%,159.44%,225.00%,-64.52%,-53.21%,579.49%,-40.00%,58.54%,-70.07%,71.25%,Upgrade
Free Cash Flow Per Share,1.84,-2.62,-6.71,-12.63,-2.60,-10.32,-6.80,-10.69,-8.38,-,Upgrade
Dividend Per Share,0.120,0.120,0.120,0.120,0.120,0.100,0.070,0.020,-,-,Upgrade
Dividend Growth,0%,0%,0%,0%,20.00%,42.86%,250.00%,-,-,-,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,43.19%,48.44%,19.74%,12.78%,23.17%,40.98%,16.50%,32.42%,24.23%,41.02%,Upgrade
Profit Margin,33.59%,37.80%,24.80%,9.57%,25.89%,41.63%,11.14%,19.44%,13.96%,41.20%,Upgrade
Free Cash Flow Margin,15.39%,-25.74%,-113.69%,-270.09%,-52.41%,-170.52%,-188.30%,-344.11%,-380.28%,-76.15%,Upgrade
Effective Tax Rate,16.22%,20.78%,-25.65%,23.15%,-11.73%,-2.28%,20.00%,40.08%,42.37%,-,Upgrade
EBITDA,231.1,232.15,69.08,43.43,62.43,108.53,21.48,37.86,19.6,29.52,Upgrade
EBITDA Margin,44.06%,52.55%,28.77%,23.05%,31.41%,44.96%,17.37%,35.67%,27.23%,43.34%,Upgrade
Depreciation & Amortization,20.78,21.37,21.69,19.97,16.39,10.28,4.26,3.44,2.16,1.46,Upgrade
EBIT,210.32,210.79,47.39,23.47,46.05,98.25,17.22,34.42,17.44,28.06,Upgrade
EBIT Margin,40.10%,47.71%,19.74%,12.46%,23.17%,40.70%,13.92%,32.44%,24.23%,41.20%,Upgrade
