Year,2022,2021,2020,2019,2018,2017
Revenue,163.91,176.58,147.83,135.3,123.98,115.87
Revenue Growth (YoY),-7.17%,19.45%,9.26%,9.13%,7.00%,-
Cost of Revenue,70.28,80.68,80.81,65.05,60.15,59.81
Gross Profit,93.63,95.9,67.02,70.25,63.83,56.06
"Selling, General & Admin",18.44,18.23,13.96,13.41,11.51,10.93
Other Operating Expenses,0,0,0,0,0.16,0.16
Operating Expenses,18.44,18.23,13.96,13.41,11.67,11.09
Operating Income,75.19,77.68,53.06,56.84,52.16,44.97
Other Expense / Income,97.76,94.71,80.36,77.04,68.35,55.91
Pretax Income,-22.57,-17.04,-27.3,-20.2,-16.2,-10.94
Income Tax,-2.11,-0.38,-2.28,-0.87,-2.35,-2.7
Net Income,-20.46,-16.66,-25.03,-19.32,-13.85,-8.24
Shares Outstanding (Basic),15,15,15,15,15,-
Shares Outstanding (Diluted),15,15,15,15,15,-
EPS (Basic),-1.38,-1.12,-1.68,-1.30,-0.93,-
EPS (Diluted),-1.38,-1.12,-1.68,-1.30,-0.93,-
Free Cash Flow Per Share,-0.49,-0.05,0.36,-0.19,0.28,-
Dividend Per Share,-,-,-,6.250,-,-
Gross Margin,57.12%,54.31%,45.34%,51.92%,51.48%,48.38%
Operating Margin,45.87%,43.99%,35.89%,42.01%,42.07%,38.81%
Profit Margin,-12.48%,-9.43%,-16.93%,-14.28%,-11.17%,-7.11%
Free Cash Flow Margin,-4.50%,-0.45%,3.59%,-2.06%,3.39%,8.18%
EBITDA,-18.46,-13.71,-24.52,-18.76,-14.75,-10.12
EBITDA Margin,-11.26%,-7.77%,-16.59%,-13.86%,-11.90%,-8.74%
Depreciation & Amortization,4.11,3.32,2.78,1.44,1.45,0.82
EBIT,-22.57,-17.04,-27.3,-20.2,-16.2,-10.94
EBIT Margin,-13.77%,-9.65%,-18.47%,-14.93%,-13.06%,-9.44%
