Year,2022,2021,2020,2019,2018,2017,2016
Revenue,217.4,97.64,57.26,47.73,38.46,32.52,29
Revenue Growth (YoY),122.65%,70.52%,19.98%,24.10%,18.25%,12.16%,-
Gross Profit,217.4,97.64,57.26,47.73,38.46,32.52,29
"Selling, General & Admin",65.6,46.02,32.51,27.74,23.41,19.86,18.33
Other Operating Expenses,101.18,17.25,5.61,3.32,2.81,2.57,3.21
Operating Expenses,166.77,63.26,38.12,31.06,26.22,22.43,21.54
Operating Income,50.62,34.38,19.14,16.66,12.24,10.09,7.46
Pretax Income,50.62,34.38,19.14,16.66,12.24,10.09,7.46
Income Tax,10,7.37,4,3.46,2.54,4.65,2.45
Net Income,40.63,27.01,15.15,13.2,9.7,5.44,5
Net Income Growth,50.44%,78.30%,14.73%,36.08%,78.46%,8.65%,-
Shares Outstanding (Basic),13,12,12,12,10,9,9
Shares Outstanding (Diluted),14,13,12,12,11,9,9
Shares Change,7.93%,2.56%,0.11%,14.96%,14.84%,0.16%,-
EPS (Basic),3.14,2.25,1.27,1.11,0.93,0.59,0.54
EPS (Diluted),3.01,2.16,1.24,1.08,0.91,0.59,0.54
EPS Growth,39.35%,74.19%,14.81%,18.68%,54.24%,9.26%,-
Free Cash Flow Per Share,4.96,2.27,1.17,1.05,1.27,0.71,0.67
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,23.29%,35.21%,33.43%,34.91%,31.83%,31.02%,25.72%
Profit Margin,18.69%,27.66%,26.45%,27.66%,25.22%,16.71%,17.25%
Free Cash Flow Margin,29.56%,27.91%,24.38%,26.10%,34.46%,20.17%,21.40%
Effective Tax Rate,19.75%,21.44%,20.87%,20.77%,20.76%,46.12%,32.91%
EBITDA,52.43,35.96,20.5,17.9,13.31,11.08,8.35
EBITDA Margin,24.12%,36.83%,35.80%,37.51%,34.62%,34.08%,28.80%
Depreciation & Amortization,1.81,1.59,1.36,1.24,1.07,0.99,0.9
EBIT,50.62,34.38,19.14,16.66,12.24,10.09,7.46
EBIT Margin,23.29%,35.21%,33.43%,34.91%,31.83%,31.02%,25.72%
