Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Revenue,87.53,72.14,61.7,67.07,63.25,54.8,53.85,47.07,37.55,37.62,Upgrade
Revenue Growth (YoY),21.32%,16.93%,-8.01%,6.05%,15.40%,1.77%,14.39%,25.38%,-0.19%,-16.02%,Upgrade
Cost of Revenue,44.6,38.09,33.21,32.48,34.24,25.87,23.93,22.85,16.76,15.2,Upgrade
Gross Profit,42.93,34.05,28.49,34.6,29,28.93,29.92,24.22,20.78,22.42,Upgrade
"Selling, General & Admin",4.65,4.26,3.59,2.98,3.33,2.72,2.91,3.47,4.23,3.36,Upgrade
Other Operating Expenses,1.02,1,0.74,0.42,0.67,0,0,0,-0.45,-0.25,Upgrade
Operating Expenses,5.67,5.26,4.33,3.4,4,2.72,2.91,3.47,3.78,3.11,Upgrade
Operating Income,37.26,28.79,24.16,31.2,25,26.21,27.01,20.76,17,19.31,Upgrade
Other Expense / Income,21.58,-1.3,-7.53,0.36,-32.3,-8.24,-4.32,23.58,-2.54,0.28,Upgrade
Pretax Income,15.68,30.09,31.69,30.84,57.3,34.45,31.33,-2.83,19.54,19.03,Upgrade
Net Income,15.68,30.09,31.69,30.84,57.3,34.45,31.33,-2.83,19.54,19.03,Upgrade
Net Income Growth,-47.89%,-5.02%,2.74%,-46.18%,66.34%,9.96%,-,-,2.70%,-51.89%,Upgrade
Shares Outstanding (Basic),23,21,21,21,21,19,18,15,15,15,Upgrade
Shares Outstanding (Diluted),23,21,21,21,21,19,18,15,15,15,Upgrade
Shares Change,9.83%,2.94%,-,0.03%,5.69%,6.17%,19.48%,2.25%,0.08%,0.04%,Upgrade
EPS (Basic),0.68,1.42,1.55,1.50,2.79,1.77,1.72,-0.18,1.30,1.27,Upgrade
EPS (Diluted),0.68,1.42,1.55,1.50,2.79,1.77,1.72,-0.18,1.30,1.27,Upgrade
EPS Growth,-52.11%,-8.39%,3.33%,-46.24%,57.63%,2.91%,-,-,2.36%,-,Upgrade
Free Cash Flow Per Share,3.10,-4.26,-3.14,-4.62,1.51,0.37,1.86,-0.59,-9.33,-0.89,Upgrade
Dividend Per Share,1.470,1.555,1.545,1.615,1.420,1.420,1.420,1.420,1.420,1.420,Upgrade
Dividend Growth,-5.47%,0.65%,-4.33%,13.73%,0%,0%,0%,0%,0%,1214.81%,Upgrade
Gross Margin,49.05%,47.20%,46.18%,51.58%,45.86%,52.79%,55.56%,51.45%,55.36%,59.59%,Upgrade
Operating Margin,42.57%,39.91%,39.15%,46.51%,39.53%,47.83%,50.16%,44.09%,45.28%,51.33%,Upgrade
Profit Margin,17.92%,41.71%,51.35%,45.98%,90.60%,62.86%,58.18%,-6.01%,52.05%,50.59%,Upgrade
Free Cash Flow Margin,82.25%,-125.02%,-104.70%,-141.60%,49.13%,13.08%,63.36%,-19.13%,-372.24%,-35.47%,Upgrade
EBITDA,15.68,30.09,31.69,30.84,57.3,34.45,31.33,-2.83,19.54,19.03,Upgrade
EBITDA Margin,17.92%,41.71%,51.35%,45.98%,90.60%,62.86%,58.18%,-6.01%,52.05%,50.59%,Upgrade
EBIT,15.68,30.09,31.69,30.84,57.3,34.45,31.33,-2.83,19.54,19.03,Upgrade
EBIT Margin,17.92%,41.71%,51.35%,45.98%,90.60%,62.86%,58.18%,-6.01%,52.05%,50.59%,Upgrade
