Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2010
Revenue,181,165.11,172.1,195.17,190.5,175.97,148.18,146.87,106.58,69.61,Upgrade
Revenue Growth (YoY),9.63%,-4.07%,-11.82%,2.45%,8.26%,18.75%,0.89%,37.80%,53.11%,33.37%,Upgrade
Cost of Revenue,45.02,43.45,39.12,45.17,47.53,21.56,18.88,18.59,13.65,8.82,Upgrade
Gross Profit,135.98,121.66,132.98,150,142.97,154.41,129.3,128.27,92.94,60.79,Upgrade
"Selling, General & Admin",3.19,3.16,3.43,3.53,5.87,4.72,4.75,5.06,3.36,2.08,Upgrade
Other Operating Expenses,4.99,4.97,5.09,5.21,3.15,3.16,3.53,2.94,1.65,1.06,Upgrade
Operating Expenses,8.19,8.13,8.52,8.74,9.03,7.88,8.28,8,5.01,3.14,Upgrade
Operating Income,127.8,113.53,124.46,141.26,133.95,146.53,121.02,120.28,87.92,57.65,Upgrade
Interest Expense / Income,39.36,40.99,41.24,46.4,40.47,33.09,25.19,18.9,9.82,2.34,Upgrade
Other Expense / Income,97.66,-61.25,11.85,64.28,48,22.83,0.46,23.28,28.11,-8.09,Upgrade
Pretax Income,-9.23,133.79,71.37,30.58,45.48,90.61,95.37,78.1,49.99,63.4,Upgrade
Net Income,-9.23,133.79,71.37,30.58,45.48,90.61,95.37,78.1,49.99,63.4,Upgrade
Preferred Dividends,0,0,0,0,0,22.68,19.05,19.03,15.44,13.88,Upgrade
Net Income Common,-9.23,133.79,71.37,30.58,45.48,67.93,76.32,59.07,34.55,49.53,Upgrade
Net Income Growth,-,87.45%,133.40%,-32.75%,-33.06%,-10.99%,29.20%,70.98%,-30.24%,90.97%,Upgrade
Shares Outstanding (Basic),58,58,58,59,59,57,51,49,39,26,Upgrade
Shares Outstanding (Diluted),58,58,58,59,59,57,51,49,39,26,Upgrade
Shares Change,-,-0.39%,-1.32%,-0.08%,3.18%,11.88%,4.27%,24.03%,51.95%,20.72%,Upgrade
EPS (Basic),-0.16,2.32,1.23,0.52,0.77,1.19,1.50,1.21,0.88,1.91,Upgrade
EPS (Diluted),-0.16,2.32,1.23,0.52,0.77,1.19,1.50,1.21,0.88,1.91,Upgrade
EPS Growth,-,88.62%,136.54%,-32.47%,-35.29%,-20.67%,23.97%,37.50%,-53.93%,57.85%,Upgrade
Free Cash Flow Per Share,3.53,-1.43,2.11,0.08,-0.79,-2.25,-0.91,0.84,-9.34,-7.54,Upgrade
Dividend Per Share,1.270,1.200,1.320,1.440,1.440,1.440,1.440,1.440,1.490,1.530,Upgrade
Dividend Growth,5.83%,-9.09%,-8.33%,0%,0%,0%,0%,-3.36%,-2.61%,40.37%,Upgrade
Gross Margin,75.13%,73.69%,77.27%,76.86%,75.05%,87.75%,87.26%,87.34%,87.20%,87.33%,Upgrade
Operating Margin,70.61%,68.76%,72.32%,72.38%,70.31%,83.27%,81.67%,81.89%,82.49%,82.82%,Upgrade
Profit Margin,-5.10%,81.03%,41.47%,15.67%,23.87%,38.60%,51.50%,40.22%,32.41%,71.15%,Upgrade
Free Cash Flow Margin,112.68%,-50.03%,71.08%,2.40%,-24.34%,-72.86%,-31.10%,27.91%,-345.34%,-280.86%,Upgrade
EBITDA,30.13,174.78,112.61,76.98,85.94,123.7,120.56,96.99,59.81,65.74,Upgrade
EBITDA Margin,16.65%,105.86%,65.43%,39.44%,45.12%,70.30%,81.36%,66.04%,56.12%,94.44%,Upgrade
EBIT,30.13,174.78,112.61,76.98,85.94,123.7,120.56,96.99,59.81,65.74,Upgrade
EBIT Margin,16.65%,105.86%,65.43%,39.44%,45.12%,70.30%,81.36%,66.04%,56.12%,94.44%,Upgrade
