Year,2022,2021,2020,2019,2018,2017,2016,2015
Revenue,90.08,105.25,55.24,132.56,138.91,111.21,89.06,65.69
Revenue Growth (YoY),-14.41%,90.55%,-58.33%,-4.57%,24.91%,24.87%,35.57%,-
Gross Profit,90.08,105.25,55.24,132.56,138.91,111.21,89.06,65.69
"Selling, General & Admin",45.22,39.23,40.9,39.72,38.55,31.85,25.14,21.85
Other Operating Expenses,52.43,32.99,33.21,47.95,11.79,8.91,7.47,6.04
Operating Expenses,97.65,72.22,74.11,87.67,50.34,40.76,32.61,27.89
Operating Income,-7.57,33.03,-18.88,44.89,88.57,70.45,56.45,37.8
Pretax Income,-7.57,33.03,-18.88,44.89,88.57,70.45,56.45,37.8
Income Tax,6.63,9.64,-5.91,15.64,25.1,32.47,23.22,15.29
Net Income,-14.19,23.39,-12.97,29.25,63.47,37.98,33.23,22.51
Net Income Growth,-,-,-,-53.92%,67.12%,14.27%,47.63%,-
Shares Outstanding (Basic),50,50,50,51,53,46,45,46
Shares Outstanding (Diluted),50,50,50,51,53,46,45,46
Shares Change,0.41%,0.60%,-2.52%,-3.47%,14.60%,2.09%,-1.90%,-
EPS (Basic),-0.28,0.47,-0.26,0.57,1.20,0.82,0.73,0.49
EPS (Diluted),-0.28,0.47,-0.26,0.57,1.20,0.82,0.73,0.49
EPS Growth,-,-,-,-52.50%,46.34%,12.33%,48.98%,-
Free Cash Flow Per Share,0.04,0.59,0.15,1.16,1.07,0.91,0.59,0.50
Dividend Per Share,-,-,0.010,0.040,0.040,-,-,-
Dividend Growth,-,-,-75.00%,0%,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,-8.40%,31.38%,-34.17%,33.86%,63.76%,63.35%,63.38%,57.54%
Profit Margin,-15.76%,22.22%,-23.48%,22.06%,45.69%,34.15%,37.32%,34.27%
Free Cash Flow Margin,2.13%,28.10%,13.98%,44.86%,40.84%,37.78%,29.98%,35.01%
Effective Tax Rate,-,29.19%,-,34.85%,28.34%,46.09%,41.13%,40.44%
EBITDA,-6.02,34.79,-17.27,46.51,90.42,72.09,57.96,39.37
EBITDA Margin,-6.69%,33.05%,-31.26%,35.09%,65.09%,64.82%,65.08%,59.93%
Depreciation & Amortization,1.54,1.75,1.61,1.62,1.85,1.64,1.51,1.57
EBIT,-7.57,33.03,-18.88,44.89,88.57,70.45,56.45,37.8
EBIT Margin,-8.40%,31.38%,-34.17%,33.86%,63.76%,63.35%,63.38%,57.54%
