Year,2021,2020,2019,2018,2017,2016,2015
Revenue,4.91,2.19,15.66,2.55,0.49,0.07,0
Revenue Growth (YoY),124.46%,-86.02%,513.68%,415.48%,575.75%,-,-
Cost of Revenue,6.51,1.98,12.28,1.81,0,0,0
Gross Profit,-1.6,0.2,3.38,0.74,0.49,0.07,0
"Selling, General & Admin",9.53,5.91,5.5,1.78,1.52,0.26,0.02
Other Operating Expenses,0.44,0.31,3.48,0.01,8.84,0.32,0
Operating Expenses,9.96,6.22,8.97,1.78,10.36,0.58,0.02
Operating Income,-11.56,-6.01,-5.6,-1.04,-9.86,-0.51,-0.02
Interest Expense / Income,0.06,0.05,0.47,0.03,0,0,0
Other Expense / Income,-11.09,4.29,2.57,3.45,-0,0.08,-0
Pretax Income,-0.53,-10.35,-8.64,-4.53,-9.86,-0.59,-0.02
Income Tax,0,0.01,0.03,0.02,0,0,0
Net Income,-0.54,-10.36,-8.67,-4.55,-9.86,-0.59,-0.02
Shares Outstanding (Basic),6,4,3,3,2,2,2
Shares Outstanding (Diluted),6,4,3,3,2,2,2
Shares Change,45.24%,40.71%,8.27%,17.82%,8.48%,-,-
EPS (Basic),-0.10,-2.63,-2.40,-1.80,-4.50,-0.30,-
EPS (Diluted),-0.10,-2.63,-2.40,-1.80,-4.50,-0.30,-
Free Cash Flow Per Share,-2.16,-1.58,-2.48,-2.42,-0.35,0.65,-
Gross Margin,-32.52%,9.35%,21.56%,28.96%,100.00%,100.00%,-
Operating Margin,-235.33%,-274.64%,-35.75%,-40.88%,-1992.71%,-696.70%,-
Profit Margin,-10.92%,-473.31%,-55.40%,-178.35%,-1992.13%,-802.71%,-
Free Cash Flow Margin,-252.05%,-284.60%,-44.35%,-245.29%,-157.26%,1805.75%,-
EBITDA,1.6,-9.71,-6.51,-4.48,-9.2,-0.26,-0.02
EBITDA Margin,32.61%,-443.78%,-41.60%,-175.68%,-1858.13%,-358.03%,-
Depreciation & Amortization,2.07,0.59,1.66,0.01,0.66,0.33,0
EBIT,-0.47,-10.31,-8.17,-4.49,-9.86,-0.59,-0.02
EBIT Margin,-9.57%,-470.81%,-52.19%,-176.16%,-1992.13%,-802.71%,-
