Year,2021,2020,2019,2018,2017,2016,2015,2014
Revenue,6.31,1.75,6.91,3.7,107.26,22.92,11.89,4.65
Revenue Growth (YoY),259.62%,-74.62%,87.12%,-96.55%,367.96%,92.70%,156.01%,-
Cost of Revenue,5.39,0,0,0,0,0,0,0
Gross Profit,0.92,1.75,6.91,3.7,107.26,22.92,11.89,4.65
"Selling, General & Admin",15.24,28.3,21.95,4.3,21.06,7.86,5.39,3.34
Other Operating Expenses,0.81,0.6,1.38,6.59,10.32,5.15,2.36,1.61
Operating Expenses,16.05,28.9,23.33,10.88,31.38,13.01,7.75,4.94
Operating Income,-15.13,-27.15,-16.42,-7.19,75.88,9.91,4.14,-0.3
Interest Expense / Income,0.8,2.15,2.5,0,0,0,0,0
Other Expense / Income,0.78,5.04,51.79,-13.53,-0.63,-0.18,-0.03,0.01
Pretax Income,-16.72,-34.34,-70.71,6.34,76.51,10.09,4.17,-0.31
Income Tax,0.13,0.48,0.49,0.81,11.03,1.52,0.63,0.04
Net Income,-16.85,-34.83,-71.2,5.53,65.48,8.57,3.54,-0.35
Net Income Growth,-,-,-,-91.55%,664.01%,142.22%,-,-
Shares Outstanding (Basic),60,49,49,49,45,42,42,42
Shares Outstanding (Diluted),60,49,49,53,48,42,42,42
Shares Change,22.06%,0.17%,-7.85%,11.03%,12.58%,0.60%,-,-
EPS (Basic),-0.84,-2.13,-4.38,0.33,4.38,0.60,0.24,-0.03
EPS (Diluted),-0.84,-1.92,-2.91,-0.42,4.11,0.60,0.24,-0.03
EPS Growth,-,-,-,-,585.00%,150.00%,-,-
Free Cash Flow Per Share,-0.43,0.62,-3.60,-0.11,5.82,0.56,0.49,0.17
Dividend Per Share,-,-,-,1.200,-,-,-,-
Gross Margin,14.52%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,-239.79%,-1547.05%,-237.43%,-194.55%,70.74%,43.25%,34.81%,-6.43%
Profit Margin,-267.01%,-1984.52%,-1029.70%,149.72%,61.05%,37.39%,29.75%,-7.54%
Free Cash Flow Margin,-136.79%,573.15%,-845.64%,-46.89%,81.36%,34.48%,58.05%,50.85%
Effective Tax Rate,-,-,-,12.74%,14.41%,15.08%,15.08%,-
EBITDA,-15.9,-32.17,-68.09,6.36,76.68,10.19,4.23,-0.29
EBITDA Margin,-251.89%,-1833.36%,-984.73%,172.05%,71.49%,44.44%,35.55%,-6.17%
Depreciation & Amortization,0.02,0.02,0.12,0.02,0.17,0.09,0.06,0.02
EBIT,-15.92,-32.19,-68.21,6.34,76.51,10.09,4.17,-0.31
EBIT Margin,-252.18%,-1834.22%,-986.48%,171.58%,71.33%,44.04%,35.03%,-6.59%
