Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Revenue,478.44,471.75,441.24,388.76,360.05,321.63,327.23,300.19,307.93,290.89,Upgrade
Revenue Growth (YoY),1.42%,6.92%,13.50%,7.97%,11.95%,-1.71%,9.01%,-2.51%,5.86%,-0.48%,Upgrade
Gross Profit,478.44,471.75,441.24,388.76,360.05,321.63,327.23,300.19,307.93,290.89,Upgrade
"Selling, General & Admin",272.25,258.72,250.64,241.34,208.93,183.92,177.51,166.58,167.48,162.97,Upgrade
Other Operating Expenses,21.15,20.55,21.44,18.21,15.82,15.66,17.71,15.94,17.74,14.84,Upgrade
Operating Expenses,293.39,279.26,272.08,259.55,224.75,199.58,195.22,182.52,185.22,177.81,Upgrade
Operating Income,185.04,192.49,169.17,129.21,135.31,122.05,132.01,117.68,122.71,113.07,Upgrade
Other Expense / Income,-,-,10.53,0.61,0.2,-,5.55,0.53,-,-,Upgrade
Pretax Income,185.04,192.49,158.64,128.6,135.11,122.05,126.46,117.15,122.71,113.07,Upgrade
Income Tax,36.69,38.55,30.71,25.9,24.73,37.81,40.32,36.13,38.75,36.21,Upgrade
Net Income,148.35,153.95,127.92,102.7,110.39,84.24,86.14,81.01,83.96,76.87,Upgrade
Net Income Growth,-3.63%,20.34%,24.56%,-6.96%,31.04%,-2.20%,6.32%,-3.51%,9.22%,2.21%,Upgrade
Shares Outstanding (Basic),16,16,16,16,16,15,15,15,15,15,Upgrade
Shares Change,0.27%,-0.58%,-0.20%,4.13%,2.68%,-0.34%,-0.07%,-0.34%,-0.13%,0.07%,Upgrade
EPS (Basic),9.13,9.45,7.85,6.33,7.13,5.51,5.62,5.27,5.45,4.99,Upgrade
EPS (Diluted),9.06,9.37,7.80,6.29,7.07,5.47,5.59,5.26,5.45,4.99,Upgrade
EPS Growth,-3.31%,20.13%,24.01%,-11.03%,29.25%,-2.15%,6.27%,-3.49%,9.22%,2.25%,Upgrade
Free Cash Flow Per Share,7.80,8.83,5.09,5.92,7.67,5.21,5.24,5.07,4.17,7.29,Upgrade
Dividend Per Share,4.660,4.520,4.280,4.240,4.070,3.760,3.760,3.760,3.760,3.760,Upgrade
Dividend Growth,3.10%,5.61%,0.94%,4.18%,8.24%,0%,0%,0%,0%,0%,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,38.68%,40.80%,38.34%,33.24%,37.58%,37.95%,40.34%,39.20%,39.85%,38.87%,Upgrade
Profit Margin,31.01%,32.63%,28.99%,26.42%,30.66%,26.19%,26.32%,26.99%,27.27%,26.43%,Upgrade
Free Cash Flow Margin,26.53%,30.36%,18.81%,24.88%,33.46%,24.77%,24.58%,25.94%,20.88%,38.66%,Upgrade
Effective Tax Rate,19.83%,20.02%,19.36%,20.14%,18.30%,30.98%,31.88%,30.84%,31.58%,32.02%,Upgrade
EBITDA,198.86,205.76,169.45,137.72,143.7,130.7,134.85,124.49,129.95,120.39,Upgrade
EBITDA Margin,41.57%,43.62%,38.40%,35.43%,39.91%,40.64%,41.21%,41.47%,42.20%,41.39%,Upgrade
Depreciation & Amortization,13.82,13.27,10.81,9.12,8.59,8.64,8.4,7.35,7.24,7.32,Upgrade
EBIT,185.04,192.49,158.64,128.6,135.11,122.05,126.46,117.15,122.71,113.07,Upgrade
EBIT Margin,38.68%,40.80%,35.95%,33.08%,37.53%,37.95%,38.64%,39.02%,39.85%,38.87%,Upgrade
