Year,2022,2021,2020,2019
Revenue,16.76,9.71,7.3,4.45
Revenue Growth (YoY),72.56%,33.07%,63.95%,-
Cost of Revenue,3.38,2.43,1.57,0.71
Gross Profit,13.37,7.28,5.73,3.75
"Selling, General & Admin",17.89,8.59,8.03,6.12
Other Operating Expenses,17.18,1.61,1.33,0.73
Operating Expenses,35.07,10.2,9.35,6.85
Operating Income,-21.7,-2.91,-3.63,-3.1
Other Expense / Income,-28.17,18.19,0.05,0.39
Pretax Income,6.47,-21.1,-3.68,-3.5
Net Income,6.47,-21.1,-3.68,-3.5
Shares Outstanding (Basic),1,1,0,0
Shares Outstanding (Diluted),1,1,0,0
Shares Change,62.67%,141.35%,45.38%,-
EPS (Basic),-0.42,-31.34,-13.20,-18.15
EPS (Diluted),-0.42,-31.34,-13.20,-18.15
Free Cash Flow Per Share,-2.98,-3.45,-1.68,-4.88
Gross Margin,79.80%,75.00%,78.49%,84.14%
Operating Margin,-129.50%,-29.99%,-49.70%,-69.74%
Profit Margin,38.59%,-217.28%,-50.45%,-78.54%
Free Cash Flow Margin,-19.46%,-23.94%,-6.42%,-21.04%
EBITDA,9.3,-19.48,-2.36,-2.76
EBITDA Margin,55.53%,-200.65%,-32.28%,-62.03%
Depreciation & Amortization,2.84,1.61,1.33,0.73
EBIT,6.47,-21.1,-3.68,-3.5
EBIT Margin,38.59%,-217.28%,-50.45%,-78.54%
