Year,2022,2021,2020,2019,2018
Revenue,"4,792.23","1,698.02",737.13,612.11,318.92
Revenue Growth (YoY),182.22%,130.36%,20.43%,91.93%,-
Cost of Revenue,"3,129.24",965.11,410.22,364.19,207.19
Gross Profit,"1,662.99",732.92,326.91,247.92,111.73
"Selling, General & Admin","1,486.26",708.48,245.45,241.74,91.14
Other Operating Expenses,485.63,194.61,133.49,135.48,54
Operating Expenses,"1,971.89",903.08,378.94,377.22,145.14
Operating Income,-308.9,-170.16,-52.03,-129.3,-33.4
Other Expense / Income,-0.06,-0.34,141.15,-,-
Pretax Income,-308.85,-169.82,-193.18,-129.3,-33.4
Income Tax,55.73,-4.83,-21.69,-36.77,-4.82
Net Income,-364.58,-164.99,-171.49,-92.53,-28.58
Shares Outstanding (Basic),"4,677","1,602","1,316","1,138","1,099"
Shares Outstanding (Diluted),"4,677","1,602","1,316","1,138","1,099"
Shares Change,191.92%,21.78%,15.61%,3.54%,-
EPS (Basic),-0.08,-0.10,-0.13,-0.08,-0.03
EPS (Diluted),-0.08,-0.10,-0.13,-0.08,-0.03
Free Cash Flow Per Share,0.16,-1.83,0.74,0.24,-0.01
Gross Margin,34.70%,43.16%,44.35%,40.50%,35.03%
Operating Margin,-6.45%,-10.02%,-7.06%,-21.12%,-10.47%
Profit Margin,-7.61%,-9.72%,-23.26%,-15.12%,-8.96%
Free Cash Flow Margin,15.35%,-172.57%,131.79%,44.72%,-3.55%
EBITDA,-273.26,-152.48,-185.75,-124.23,-32.33
EBITDA Margin,-5.70%,-8.98%,-25.20%,-20.29%,-10.14%
Depreciation & Amortization,35.58,17.34,7.43,5.07,1.07
EBIT,-308.85,-169.82,-193.18,-129.3,-33.4
EBIT Margin,-6.44%,-10.00%,-26.21%,-21.12%,-10.47%
