Year,2022,2021,2020,2019,2018
Revenue,-2.48,24.99,10.23,18.53,6.57
Revenue Growth (YoY),-,144.30%,-44.78%,182.07%,-
Cost of Revenue,6.82,8.55,5.65,5.79,7.11
Gross Profit,-9.3,16.44,4.58,12.74,-0.54
"Selling, General & Admin",5.8,3.71,3.6,1.34,1.28
Research & Development,4.69,1.21,0,0,0
Other Operating Expenses,13.1,10.22,4.15,2.39,0.92
Operating Expenses,23.59,15.14,7.75,3.73,2.2
Operating Income,-32.9,1.31,-3.17,9.01,-2.74
Interest Expense / Income,2.33,1.61,0.18,0.73,0
Other Expense / Income,-3.67,-0.38,-0.78,-,-
Pretax Income,-31.56,0.08,-2.57,8.28,-2.74
Income Tax,0,0.05,0,0.06,0.03
Net Income,-31.56,0.02,-2.58,8.22,-2.77
Preferred Dividends,0.6,8.16,0,0,0
Net Income Common,-32.16,-8.14,-2.58,8.22,-2.77
Shares Outstanding (Basic),46,30,10,7,7
Shares Outstanding (Diluted),46,30,10,7,7
Shares Change,52.80%,196.64%,43.05%,-,-
EPS (Basic),-0.70,-0.27,-0.25,1.16,-0.39
EPS (Diluted),-0.70,-0.27,-0.25,1.16,-0.39
Free Cash Flow Per Share,-0.09,-1.02,0.01,1.12,-0.17
Gross Margin,-,65.79%,44.78%,68.77%,-8.26%
Operating Margin,-,5.23%,-30.97%,48.65%,-41.79%
Profit Margin,-,-32.58%,-25.18%,44.35%,-42.19%
Free Cash Flow Margin,-,-122.90%,1.03%,42.95%,-18.87%
Effective Tax Rate,-,70.47%,-,0.78%,-
EBITDA,-26.53,2.98,-2.35,9.07,-2.71
EBITDA Margin,-,11.93%,-22.98%,48.93%,-41.29%
Depreciation & Amortization,2.69,1.3,0.04,0.05,0.03
EBIT,-29.23,1.69,-2.39,9.01,-2.74
EBIT Margin,-,6.74%,-23.37%,48.65%,-41.79%
