Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Revenue,67.1,54.44,28.82,26.1,26.55,26.84,23.65,20.72,19.75,32.14,Upgrade
Revenue Growth (YoY),23.26%,88.88%,10.43%,-1.71%,-1.07%,13.50%,14.14%,4.92%,-38.57%,15.86%,Upgrade
Gross Profit,67.1,54.44,28.82,26.1,26.55,26.84,23.65,20.72,19.75,32.14,Upgrade
"Selling, General & Admin",26.63,24.39,13.35,12.74,11.46,11.67,10.24,11.36,11.79,16.54,Upgrade
Other Operating Expenses,11.92,18.14,5.43,5.15,4.56,4.21,5.05,5.04,5.6,5.5,Upgrade
Operating Expenses,38.56,42.52,18.78,17.88,16.01,15.88,15.3,16.4,17.39,22.04,Upgrade
Operating Income,28.55,11.92,10.04,8.22,10.54,10.96,8.35,4.32,2.35,10.11,Upgrade
Pretax Income,28.55,11.92,10.04,8.22,10.54,10.96,8.35,4.32,2.35,10.11,Upgrade
Income Tax,5.11,1.85,2.07,1.53,2.07,4.4,2.6,1.2,0.46,3.21,Upgrade
Net Income,23.44,10.07,7.98,6.69,8.47,6.55,5.75,3.12,1.9,6.9,Upgrade
Net Income Growth,132.73%,26.23%,19.27%,-21.03%,29.23%,14.02%,84.17%,64.44%,-72.48%,25.82%,Upgrade
Shares Outstanding (Basic),5,5,3,3,3,3,3,3,3,3,Upgrade
Shares Change,0.36%,95.57%,0.83%,0.80%,0.48%,1.77%,-2.75%,-9.78%,0.35%,-,Upgrade
EPS (Basic),4.40,2.16,2.95,2.49,3.18,2.49,2.20,1.12,0.64,2.32,Upgrade
EPS (Diluted),4.38,2.14,2.95,2.49,3.15,2.46,2.19,1.12,0.64,2.32,Upgrade
EPS Growth,104.67%,-27.46%,18.47%,-20.95%,28.21%,12.40%,95.88%,75.75%,-72.65%,25.51%,Upgrade
Free Cash Flow Per Share,5.34,2.22,3.34,3.40,4.09,3.13,1.80,1.93,2.30,2.76,Upgrade
Dividend Per Share,1.200,1.200,1.200,1.200,1.081,0.623,0.490,0.375,0.275,0.198,Upgrade
Dividend Growth,0%,0%,0%,11.01%,73.52%,27.14%,30.67%,36.36%,38.89%,-,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,42.54%,21.89%,34.84%,31.48%,39.69%,40.82%,35.31%,20.84%,11.92%,31.45%,Upgrade
Profit Margin,34.93%,18.50%,27.68%,25.63%,31.90%,24.42%,24.31%,15.07%,9.61%,21.45%,Upgrade
Free Cash Flow Margin,42.40%,21.69%,31.41%,35.08%,41.09%,31.04%,19.94%,24.97%,34.71%,25.46%,Upgrade
Effective Tax Rate,17.89%,15.49%,20.56%,18.59%,19.63%,40.18%,31.16%,27.72%,19.37%,31.78%,Upgrade
EBITDA,33.63,16.32,12,9.41,11.77,12.21,9.62,5.48,3.51,11.38,Upgrade
EBITDA Margin,50.12%,29.97%,41.63%,36.07%,44.31%,45.48%,40.70%,26.46%,17.75%,35.41%,Upgrade
Depreciation & Amortization,5.09,4.4,1.96,1.2,1.23,1.25,1.27,1.16,1.15,1.27,Upgrade
EBIT,28.55,11.92,10.04,8.22,10.54,10.96,8.35,4.32,2.35,10.11,Upgrade
EBIT Margin,42.54%,21.89%,34.84%,31.48%,39.69%,40.82%,35.31%,20.84%,11.92%,31.45%,Upgrade
