Year,2022,2021,2020,2019
Revenue,89.98,97.33,20.11,4.44
Revenue Growth (YoY),-7.55%,383.87%,353.12%,-
Cost of Revenue,59.84,28.39,12.6,4.9
Gross Profit,30.14,68.94,7.51,-0.46
"Selling, General & Admin",36.95,23.99,5.58,5.83
Other Operating Expenses,209.66,8.47,4.56,1.68
Operating Expenses,246.61,32.46,10.15,7.51
Operating Income,-216.47,36.47,-2.63,-7.97
Interest Expense / Income,21.58,3.71,0.66,0.67
Other Expense / Income,18.02,69.34,-0.01,-0.17
Pretax Income,-256.07,-36.58,-3.29,-8.48
Income Tax,15,7.9,0,0
Net Income,-271.07,-44.48,-3.29,-8.48
Shares Outstanding (Basic),4,3,4,-
Shares Outstanding (Diluted),4,4,-,-
Shares Change,15.66%,-4.50%,-,-
EPS (Basic),-64.00,-14.10,-,-
EPS (Diluted),-64.00,-12.30,-,-
Free Cash Flow Per Share,-30.68,-38.60,-2.61,-
Gross Margin,33.50%,70.83%,37.36%,-10.39%
Operating Margin,-240.58%,37.47%,-13.08%,-179.61%
Profit Margin,-301.26%,-45.70%,-16.36%,-190.92%
Free Cash Flow Margin,-144.49%,-126.88%,-49.71%,-375.20%
EBITDA,-199.36,-24.39,1.94,-6.12
EBITDA Margin,-221.56%,-25.06%,9.64%,-137.94%
Depreciation & Amortization,35.14,8.47,4.56,1.68
EBIT,-234.49,-32.87,-2.63,-7.8
EBIT Margin,-260.61%,-33.77%,-13.06%,-175.76%
