Year,2022,2021,2020,2019,2018,2017,2016
Revenue,102.95,83.61,76.75,75.16,57.16,44.27,27.31
Revenue Growth (YoY),23.13%,8.94%,2.12%,31.49%,29.10%,62.11%,-
Gross Profit,102.95,83.61,76.75,75.16,57.16,44.27,27.31
"Selling, General & Admin",55.83,46.71,49.25,42.32,29.51,24.98,14.14
Other Operating Expenses,10.1,8.42,9.27,9.15,7.16,5.14,2.82
Operating Expenses,65.94,55.13,58.52,51.47,36.67,30.12,16.96
Operating Income,37.01,28.48,18.23,23.69,20.49,14.15,10.35
Pretax Income,37.01,28.48,18.23,23.69,20.49,14.15,10.35
Income Tax,10.02,7.79,4.5,6.37,6,8.89,4.44
Net Income,26.99,20.69,13.73,17.32,14.49,5.26,5.91
Net Income Growth,30.43%,50.74%,-20.74%,19.49%,175.53%,-11.03%,-
Shares Outstanding (Basic),13,11,12,12,10,7,5
Shares Outstanding (Diluted),13,11,12,12,10,7,5
Shares Change,20.60%,-9.05%,1.75%,21.33%,48.65%,19.64%,-
EPS (Basic),2.06,1.90,1.15,1.47,1.50,0.81,1.10
EPS (Diluted),2.06,1.90,1.15,1.47,1.50,0.81,1.09
EPS Growth,8.42%,65.22%,-21.77%,-2.00%,85.19%,-25.69%,-
Free Cash Flow Per Share,2.95,0.84,0.62,0.89,0.54,1.37,1.12
Dividend Per Share,0.200,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,35.95%,34.06%,23.75%,31.52%,35.85%,31.96%,37.89%
Profit Margin,26.21%,24.75%,17.88%,23.04%,25.36%,11.88%,21.65%
Free Cash Flow Margin,37.66%,10.96%,9.70%,13.99%,9.14%,20.24%,22.35%
Effective Tax Rate,27.08%,27.35%,24.70%,26.90%,29.26%,62.82%,42.87%
EBITDA,41.03,32.34,21.93,26.52,22.6,15.76,11.24
EBITDA Margin,39.86%,38.68%,28.57%,35.29%,39.53%,35.60%,41.17%
Depreciation & Amortization,4.02,3.86,3.7,2.83,2.11,1.61,0.9
EBIT,37.01,28.48,18.23,23.69,20.49,14.15,10.35
EBIT Margin,35.95%,34.06%,23.75%,31.52%,35.85%,31.96%,37.89%
