Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Revenue,357.45,346.98,172.96,147.26,146.73,136.78,125.11,118.44,73.28,22.84
Revenue Growth (YoY),3.02%,100.61%,17.45%,0.36%,7.27%,9.33%,5.63%,61.62%,220.91%,-
Cost of Revenue,36.3,41.73,15.71,23.52,29.96,30.6,27.43,27.22,11.56,3.93
Gross Profit,321.16,305.25,157.25,123.74,116.77,106.18,97.67,91.21,61.72,18.91
"Selling, General & Admin",8.67,7.6,6.03,5.89,6.12,3.73,4.44,4.35,3.26,1.97
Other Operating Expenses,0,0,0,0,0,1.29,1.67,1.06,0.91,0.92
Operating Expenses,8.67,7.6,6.03,5.89,6.12,5.03,6.11,5.41,4.18,2.88
Operating Income,312.49,297.65,151.23,117.85,110.65,101.15,91.56,85.8,57.54,16.03
Interest Expense / Income,79.46,58.99,39.9,36.31,26.23,19.61,14.3,10.71,4.68,0.66
Other Expense / Income,173.57,44.95,-66.22,43.57,29.16,30.45,35.58,27.95,15.82,-3.69
Pretax Income,59.46,193.71,177.54,37.97,55.26,51.1,41.69,47.15,37.04,19.05
Income Tax,4.45,1.28,1.43,1.82,1.58,1.55,1.04,0.52,0.12,1.07
Net Income,55,192.43,176.11,36.15,53.68,49.55,40.65,46.63,36.92,17.98
Net Income Growth,-71.42%,9.26%,387.20%,-32.66%,8.34%,21.88%,-12.82%,26.29%,105.30%,-
Shares Outstanding (Basic),102,102,54,40,40,39,36,35,30,24
Shares Outstanding (Diluted),102,102,54,40,40,39,36,35,30,24
Shares Change,0.56%,88.52%,33.80%,0.32%,4.01%,6.38%,4.41%,16.97%,24.85%,-
EPS (Basic),0.54,1.89,3.26,0.90,1.34,1.28,1.12,1.34,1.24,0.76
EPS (Diluted),0.54,1.89,3.26,0.90,1.34,1.28,1.12,1.34,1.24,0.76
EPS Growth,-71.43%,-42.02%,262.22%,-32.84%,4.69%,14.29%,-16.42%,8.06%,63.16%,-
Free Cash Flow Per Share,0.27,-0.29,3.07,-0.88,-1.23,-1.28,-0.86,-3.49,-9.40,-22.65
Dividend Per Share,1.800,1.950,1.800,1.800,1.800,1.800,1.800,1.350,-,-
Dividend Growth,-7.69%,8.33%,0%,0%,0%,0%,33.33%,-,-,-
Gross Margin,89.85%,87.97%,90.92%,84.03%,79.58%,77.63%,78.07%,77.02%,84.22%,82.81%
Operating Margin,87.42%,85.78%,87.43%,80.03%,75.41%,73.95%,73.19%,72.45%,78.52%,70.19%
Profit Margin,15.39%,55.46%,101.82%,24.55%,36.58%,36.22%,32.49%,39.37%,50.39%,78.76%
Free Cash Flow Margin,7.68%,-8.60%,95.85%,-23.95%,-33.56%,-36.04%,-25.06%,-102.51%,-381.45%,-2362.56%
Effective Tax Rate,7.49%,0.66%,0.80%,4.79%,2.86%,3.04%,2.49%,1.10%,0.32%,5.62%
EBITDA,138.92,252.7,217.44,74.28,81.49,70.71,55.99,57.85,41.72,19.71
EBITDA Margin,38.86%,72.83%,125.72%,50.44%,55.54%,51.69%,44.75%,48.85%,56.94%,86.32%
EBIT,138.92,252.7,217.44,74.28,81.49,70.71,55.99,57.85,41.72,19.71
EBIT Margin,38.86%,72.83%,125.72%,50.44%,55.54%,51.69%,44.75%,48.85%,56.94%,86.32%
