Year,2022,2021,2020,2019,2018
Revenue,48.98,90.77,52.77,40.56,38.36
Revenue Growth (YoY),-46.04%,71.99%,30.12%,5.74%,-
Gross Profit,48.98,90.77,52.77,40.56,38.36
"Selling, General & Admin",48.18,40.15,35.92,29.71,27.82
Other Operating Expenses,37.65,16.99,11.62,16.9,6.74
Operating Expenses,85.82,57.14,47.54,46.61,34.56
Operating Income,-36.85,33.62,5.24,-6.05,3.8
Pretax Income,-36.85,33.62,5.24,-6.05,3.8
Income Tax,-6.85,8.21,1.38,-0.92,1.12
Net Income,-30,25.42,3.85,-5.13,2.68
Net Income Growth,-,559.62%,-,-,-
Shares Outstanding (Basic),23,17,17,17,18
Shares Outstanding (Diluted),23,17,17,17,18
Shares Change,35.13%,0.65%,-4.30%,-2.13%,-
EPS (Basic),-1.32,1.52,0.23,-0.29,0.15
EPS (Diluted),-1.32,1.51,0.23,-0.29,0.15
EPS Growth,-,556.52%,-,-,-
Free Cash Flow Per Share,0.41,3.11,-1.48,0.07,0.12
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,-75.23%,37.04%,9.92%,-14.91%,9.90%
Profit Margin,-61.26%,28.00%,7.30%,-12.64%,6.98%
Free Cash Flow Margin,19.00%,57.29%,-46.73%,3.03%,5.54%
Effective Tax Rate,-,24.41%,26.40%,-,29.52%
EBITDA,-32.58,36.1,7.75,-3.83,5.6
EBITDA Margin,-66.52%,39.77%,14.69%,-9.44%,14.59%
Depreciation & Amortization,4.27,2.47,2.52,2.22,1.8
EBIT,-36.85,33.62,5.24,-6.05,3.8
EBIT Margin,-75.23%,37.04%,9.92%,-14.91%,9.90%
