Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1996
Revenue,60.06,57.1,47.49,43.08,45.75,39.5,35.6,36.55,47.32,41.33,Upgrade
Revenue Growth (YoY),5.20%,20.24%,10.22%,-5.82%,15.80%,10.96%,-2.58%,-22.76%,14.48%,47.46%,Upgrade
Gross Profit,60.06,57.1,47.49,43.08,45.75,39.5,35.6,36.55,47.32,41.33,Upgrade
"Selling, General & Admin",28.77,25.15,23.39,23.69,22.75,21.68,21.34,21.22,20.8,21.16,Upgrade
Other Operating Expenses,6.7,5.92,5.52,5.99,6.58,6.39,6.2,7.24,12.77,13.78,Upgrade
Operating Expenses,35.47,31.07,28.92,29.68,29.33,28.07,27.55,28.46,33.57,34.95,Upgrade
Operating Income,24.59,26.03,18.57,13.4,16.42,11.44,8.06,8.08,13.75,6.38,Upgrade
Pretax Income,24.59,26.03,18.57,13.4,16.42,11.44,8.06,8.08,13.75,6.38,Upgrade
Income Tax,4.14,4.66,3.23,2.33,3.07,11.29,1.75,-27.76,0.33,0,Upgrade
Net Income,20.45,21.37,15.35,11.08,13.35,0.15,6.31,35.84,13.42,6.38,Upgrade
Net Income Growth,-4.33%,39.25%,38.57%,-17.03%,8980.95%,-97.67%,-82.40%,167.06%,110.28%,-,Upgrade
Shares Outstanding (Basic),20,20,20,20,17,17,17,16,16,16,Upgrade
Shares Outstanding (Diluted),20,20,20,20,17,17,17,16,16,16,Upgrade
Shares Change,-1.81%,-0.42%,2.04%,17.76%,0.48%,1.01%,0.44%,0.16%,0.09%,0.10%,Upgrade
EPS (Basic),1.04,1.06,0.76,0.56,0.79,0.01,0.38,2.17,0.81,0.39,Upgrade
EPS (Diluted),1.03,1.06,0.76,0.56,0.79,0.01,0.38,2.17,0.81,0.39,Upgrade
EPS Growth,-2.83%,39.47%,35.71%,-29.11%,7800.00%,-97.37%,-82.49%,167.90%,107.69%,-,Upgrade
Free Cash Flow Per Share,0.97,1.14,0.89,0.51,1.02,0.64,-0.03,0.18,0.59,1.18,Upgrade
Dividend Per Share,0.330,0.270,0.220,0.200,0.170,0.130,0.060,-,-,-,Upgrade
Dividend Growth,22.22%,22.73%,10.00%,17.65%,30.77%,116.67%,-,-,-,-,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,40.94%,45.58%,39.11%,31.11%,35.89%,28.95%,22.63%,22.11%,29.05%,15.44%,Upgrade
Profit Margin,34.04%,37.43%,32.32%,25.71%,29.18%,0.37%,17.72%,98.07%,28.36%,15.44%,Upgrade
Free Cash Flow Margin,31.80%,40.05%,37.67%,23.51%,37.46%,27.02%,-1.20%,8.32%,20.71%,47.07%,Upgrade
Effective Tax Rate,16.85%,17.89%,17.36%,17.36%,18.70%,98.71%,21.69%,-343.51%,2.37%,-,Upgrade
EBITDA,26.15,27.59,20.2,16.39,19.39,13.95,10.66,9.78,15.22,7.65,Upgrade
EBITDA Margin,43.54%,48.33%,42.54%,38.04%,42.38%,35.32%,29.94%,26.77%,32.16%,18.50%,Upgrade
Depreciation & Amortization,1.57,1.57,1.63,2.99,2.97,2.52,2.6,1.7,1.47,1.27,Upgrade
EBIT,24.59,26.03,18.57,13.4,16.42,11.44,8.06,8.08,13.75,6.38,Upgrade
EBIT Margin,40.94%,45.58%,39.11%,31.11%,35.89%,28.95%,22.63%,22.11%,29.05%,15.44%,Upgrade
