Year,2022,2021,2020,2019,2018,2017
Revenue,141.58,131.04,89.86,100.87,94.61,81.24
Revenue Growth (YoY),8.04%,45.82%,-10.91%,6.61%,16.46%,-
Gross Profit,141.58,131.04,89.86,100.87,94.61,81.24
"Selling, General & Admin",37.06,36.78,32.23,31.35,29.11,22.36
Other Operating Expenses,13.31,11.64,8.87,8.65,9.5,8.83
Operating Expenses,50.37,48.42,41.1,40,38.61,31.19
Operating Income,91.22,82.62,48.76,60.87,56,50.05
Pretax Income,91.22,82.62,48.76,60.87,56,50.05
Income Tax,28.62,20.92,12.37,16.15,14.67,18.15
Net Income,62.6,61.7,36.39,44.72,41.33,31.9
Net Income Growth,1.46%,69.54%,-18.61%,8.19%,29.59%,-
Shares Outstanding (Basic),25,25,26,26,25,-
Shares Change,-0.61%,-0.81%,0.56%,0.89%,-,-
EPS (Basic),2.46,2.41,1.42,1.82,1.71,1.34
EPS (Diluted),2.44,2.39,1.41,1.81,1.69,1.32
EPS Growth,2.09%,69.50%,-22.10%,7.10%,28.03%,-
Free Cash Flow Per Share,5.23,2.55,5.53,1.22,-6.47,-
Dividend Per Share,0.600,0.460,0.400,0.110,-,-
Dividend Growth,30.43%,15.00%,263.64%,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,64.43%,63.05%,54.26%,60.34%,59.19%,61.61%
Profit Margin,44.22%,47.08%,40.50%,44.33%,43.69%,39.26%
Free Cash Flow Margin,93.47%,49.64%,158.04%,30.83%,-173.17%,179.59%
Effective Tax Rate,31.37%,25.32%,25.37%,26.53%,26.19%,36.27%
EBITDA,95.09,85.43,51.69,63.59,56.9,50.64
EBITDA Margin,67.16%,65.19%,57.52%,63.04%,60.14%,62.34%
Depreciation & Amortization,3.88,2.81,2.93,2.72,0.9,0.59
EBIT,91.22,82.62,48.76,60.87,56,50.05
EBIT Margin,64.43%,63.05%,54.26%,60.34%,59.19%,61.61%
