Year,2022,2021,2020,2019,2018,2017,2016,2015,2014
Revenue,324.44,323.97,306.36,270.78,212.37,189.14,163.75,145.72,137.77
Revenue Growth (YoY),0.14%,5.75%,13.14%,27.50%,12.28%,15.51%,12.37%,5.77%,-
Cost of Revenue,294.43,216.38,168.47,169.71,119.09,122.71,118.51,83.88,89.31
Gross Profit,30.01,107.6,137.88,101.07,93.28,66.43,45.24,61.85,48.46
"Selling, General & Admin",99.03,96.29,85.07,67.26,54.12,44.42,39.12,35.97,28.25
Operating Expenses,99.03,96.29,85.07,67.26,54.12,44.42,39.12,35.97,28.25
Operating Income,-69.03,11.31,52.82,33.81,39.17,22.01,6.12,25.87,20.21
Other Expense / Income,-0.68,-0.08,0.96,0.1,0.16,-0.38,0.09,0.13,0.04
Pretax Income,-68.35,11.39,51.86,33.71,39,22.39,6.03,25.74,20.17
Income Tax,-15.25,2.97,11.47,7.31,7.92,6.39,1.48,8.29,6.4
Net Income,-53.1,8.42,40.39,26.4,31.08,15.99,4.55,17.46,13.77
Net Income Growth,-,-79.16%,52.98%,-15.06%,94.37%,251.37%,-73.93%,26.73%,-
Shares Outstanding (Basic),21,21,22,22,22,22,23,-,-
Shares Outstanding (Diluted),21,22,22,22,22,-,-,-,-
Shares Change,-1.49%,-1.30%,-1.45%,-0.54%,0.32%,-2.99%,-,-,-
EPS (Basic),-2.49,0.39,1.86,1.19,1.39,0.71,-,-,-
EPS (Diluted),-2.49,0.39,1.84,1.19,1.39,0.71,-,-,-
EPS Growth,-,-78.80%,54.62%,-14.39%,95.77%,-,-,-,-
Free Cash Flow Per Share,-1.45,1.33,2.32,1.10,0.87,0.77,0.29,-,-
Gross Margin,9.25%,33.21%,45.01%,37.33%,43.92%,35.12%,27.63%,42.44%,35.18%
Operating Margin,-21.28%,3.49%,17.24%,12.49%,18.44%,11.63%,3.74%,17.76%,14.67%
Profit Margin,-16.37%,2.60%,13.18%,9.75%,14.64%,8.45%,2.78%,11.98%,10.00%
Free Cash Flow Margin,-9.52%,8.79%,16.47%,9.00%,9.14%,9.04%,4.13%,11.42%,7.11%
Effective Tax Rate,-,26.11%,22.12%,21.69%,20.31%,28.56%,24.53%,32.19%,31.71%
EBITDA,-67.17,12.56,57.79,35.96,43,22.93,6.53,26.32,20.59
EBITDA Margin,-20.70%,3.88%,18.86%,13.28%,20.25%,12.12%,3.99%,18.06%,14.95%
Depreciation & Amortization,1.18,1.17,5.93,2.25,4,0.54,0.5,0.58,0.42
EBIT,-68.35,11.39,51.86,33.71,39,22.39,6.03,25.74,20.17
EBIT Margin,-21.07%,3.52%,16.93%,12.45%,18.37%,11.84%,3.68%,17.67%,14.64%
