Year,2022,2021,2020,2019,2018
Revenue,12.86,14.11,13.97,12.79,11.93
Revenue Growth (YoY),-8.86%,0.96%,9.24%,7.25%,-
Gross Profit,12.86,14.11,13.97,12.79,11.93
"Selling, General & Admin",8.07,8.46,8.76,9.13,9.41
Other Operating Expenses,1.39,1.91,1.61,1.47,1.21
Operating Expenses,9.45,10.37,10.37,10.6,10.62
Operating Income,3.4,3.73,3.6,2.19,1.3
Other Expense / Income,2.1,2.04,1.96,2.26,1.66
Pretax Income,1.3,1.7,1.64,-0.07,-0.36
Income Tax,0.22,0.28,-0.1,-0.16,-0.15
Net Income,1.09,1.41,1.75,0.09,-0.21
Net Income Growth,-23.07%,-19.16%,1909.20%,-,-
Shares Outstanding (Basic),2,2,1,-,-
Shares Change,-3.80%,66.38%,-,-,-
EPS (Basic),0.47,0.60,0.71,0.04,-0.09
EPS (Diluted),0.47,0.60,0.71,0.04,-0.09
EPS Growth,-21.67%,-15.49%,1675.00%,-,-
Free Cash Flow Per Share,1.05,1.44,0.52,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,26.47%,26.45%,25.77%,17.12%,10.93%
Profit Margin,8.46%,10.02%,12.51%,0.68%,-1.79%
Free Cash Flow Margin,19.34%,25.04%,5.49%,5.09%,-11.73%
Effective Tax Rate,16.58%,16.69%,-6.33%,-,-
EBITDA,2.31,2.79,2.76,1.07,0.68
EBITDA Margin,17.98%,19.77%,19.76%,8.34%,5.72%
Depreciation & Amortization,1.01,1.09,1.12,1.14,1.04
EBIT,1.3,1.7,1.64,-0.07,-0.36
EBIT Margin,10.14%,12.02%,11.77%,-0.53%,-3.01%
