Year,2022,2021,2020,2019,2018,2017,2016
Revenue,24.43,25.25,22.9,27.04,27.75,29.73,5.83
Revenue Growth (YoY),-3.27%,10.29%,-15.32%,-2.58%,-6.64%,409.83%,-
Cost of Revenue,-1.08,-1.14,3.53,5.69,3.12,6.69,1.26
Gross Profit,25.51,26.4,19.37,21.35,24.63,23.04,4.58
"Selling, General & Admin",1.15,0.91,0.93,1.19,1.61,1.5,0.26
Other Operating Expenses,2.96,2.73,2.15,1.38,1.86,1.8,3.8
Operating Expenses,4.11,3.63,3.07,2.57,3.48,3.3,4.06
Operating Income,21.4,22.76,16.29,18.78,21.16,19.74,0.51
Interest Expense / Income,10.69,10.43,9.13,7.64,5.65,2.04,0.42
Other Expense / Income,26.3,22.61,39.12,18.69,24.52,20.45,17.97
Pretax Income,-15.58,-10.28,-31.96,-7.55,-9.01,-2.75,-17.87
Net Income,-15.58,-10.28,-31.96,-7.55,-9.01,-2.75,-17.87
Shares Outstanding (Basic),6,4,2,2,2,2,2
Shares Outstanding (Diluted),6,4,2,2,2,2,2
Shares Change,53.47%,83.63%,29.85%,-3.78%,-8.61%,-9.32%,-
EPS (Basic),-2.49,-2.52,-14.41,-4.42,-5.10,-1.44,-8.34
EPS (Diluted),-2.49,-2.52,-14.41,-4.42,-5.10,-1.44,-8.34
Free Cash Flow Per Share,-6.68,-14.36,12.35,-14.33,-17.16,-12.50,4.07
Dividend Per Share,1.950,2.400,5.976,6.276,7.914,5.976,-
Dividend Growth,-18.75%,-59.84%,-4.78%,-20.70%,32.43%,-,-
Gross Margin,104.44%,104.52%,84.58%,78.96%,88.76%,77.49%,78.48%
Operating Margin,87.61%,90.13%,71.15%,69.47%,76.24%,66.40%,8.80%
Profit Margin,-63.79%,-40.69%,-139.56%,-27.91%,-32.45%,-9.26%,-306.53%
Free Cash Flow Margin,-170.92%,-231.60%,119.61%,-90.52%,-109.74%,-81.68%,149.67%
EBITDA,-4.89,0.15,-22.83,0.09,-3.36,-0.72,-17.45
EBITDA Margin,-20.03%,0.61%,-99.71%,0.33%,-12.11%,-2.41%,-299.33%
EBIT,-4.89,0.15,-22.83,0.09,-3.36,-0.72,-17.45
EBIT Margin,-20.03%,0.61%,-99.71%,0.33%,-12.11%,-2.41%,-299.33%
