Year,2022,2021,2020,2019
Revenue,55.51,47.95,37.76,44.28
Revenue Growth (YoY),15.77%,26.99%,-14.73%,-
Gross Profit,55.51,47.95,37.76,44.28
"Selling, General & Admin",43.69,43.01,35.72,33.13
Other Operating Expenses,9.09,29.51,41.41,3.83
Operating Expenses,52.77,72.52,77.13,36.96
Operating Income,2.73,-24.57,-39.37,7.32
Other Expense / Income,-,2.16,-,-
Pretax Income,2.73,-26.72,-39.37,7.32
Income Tax,0.34,9.62,-7.87,1.84
Net Income,2.4,-36.34,-31.51,5.48
Shares Outstanding (Basic),26,12,22,-
Shares Outstanding (Diluted),26,12,-,-
Shares Change,115.85%,-44.04%,-,-
EPS (Basic),0.09,-2.99,-,-
EPS (Diluted),0.09,-2.99,-,-
Free Cash Flow Per Share,-0.10,-2.14,-0.39,-
Gross Margin,100.00%,100.00%,100.00%,100.00%
Operating Margin,4.93%,-51.24%,-104.28%,16.54%
Profit Margin,4.32%,-75.80%,-83.44%,12.38%
Free Cash Flow Margin,-4.66%,-54.32%,-22.63%,7.29%
Effective Tax Rate,12.36%,-,-,25.12%
EBITDA,5.4,-24.38,-37.45,9.24
EBITDA Margin,9.72%,-50.84%,-99.18%,20.87%
Depreciation & Amortization,2.66,2.35,1.93,1.92
EBIT,2.73,-26.72,-39.37,7.32
EBIT Margin,4.93%,-55.74%,-104.28%,16.54%
