Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Revenue,"1,106.69","1,124.41",874.94,999.83,886.03,866.15,870.21,772.08,852.33,740.18,Upgrade
Revenue Growth (YoY),-1.58%,28.51%,-12.49%,12.84%,2.30%,-0.47%,12.71%,-9.42%,15.15%,3.40%,Upgrade
Cost of Revenue,776.76,752.25,661.45,753.92,593.21,469.16,443.23,410.71,363.08,224.76,Upgrade
Gross Profit,329.93,372.16,213.49,245.92,292.82,396.99,426.99,361.37,489.24,515.42,Upgrade
"Selling, General & Admin",307.34,268.25,237.88,252.45,238.19,235.75,227.61,217.06,211.31,147.82,Upgrade
Other Operating Expenses,8.43,12,177.17,5.64,9.49,15.77,8.14,0.85,1.84,-32.31,Upgrade
Operating Expenses,315.77,280.24,415.05,258.09,247.68,251.52,235.75,217.92,213.15,115.5,Upgrade
Operating Income,14.16,91.92,-201.55,-12.17,45.14,145.47,191.23,143.45,276.09,399.91,Upgrade
Interest Expense / Income,20.37,19.72,15.5,16.64,16.12,16.84,15.03,14.6,14.08,2.76,Upgrade
Other Expense / Income,-,-74.41,-,-,-,-,-,-,-,-,Upgrade
Pretax Income,-6.22,146.61,-217.06,-28.8,29.03,128.62,176.2,128.86,262.01,397.16,Upgrade
Income Tax,-5.81,2.48,-41.33,-29.81,-18.03,21.36,25.12,12.66,65.44,99.64,Upgrade
Net Income,-0.4,144.12,-175.73,1,47.06,107.26,151.08,116.2,196.57,297.52,Upgrade
Net Income Growth,-,-,-,-97.87%,-56.13%,-29.00%,30.02%,-40.89%,-33.93%,8.01%,Upgrade
Shares Outstanding (Basic),54,54,54,54,54,53,53,55,59,62,Upgrade
Shares Outstanding (Diluted),54,54,54,54,54,54,53,55,60,62,Upgrade
Shares Change,0.15%,0.28%,0.12%,0.17%,0.26%,0.30%,-2.85%,-7.57%,-4.02%,0.30%,Upgrade
EPS (Basic),-0.01,2.67,-3.26,0.02,0.88,2.01,2.84,2.12,3.32,4.82,Upgrade
EPS (Diluted),-0.01,2.67,-3.26,0.02,0.88,2.00,2.83,2.11,3.30,4.80,Upgrade
EPS Growth,-,-,-,-97.73%,-56.00%,-29.33%,34.12%,-36.06%,-31.25%,7.62%,Upgrade
Free Cash Flow Per Share,-0.63,1.30,1.58,2.58,3.13,3.05,3.16,1.85,1.57,0.53,Upgrade
Dividend Per Share,0.200,0.200,0.460,1.240,1.740,5.930,5.930,2.240,3.860,1.300,Upgrade
Dividend Growth,0%,-56.52%,-62.90%,-28.74%,-70.66%,0%,164.73%,-41.97%,196.92%,-58.40%,Upgrade
Gross Margin,29.81%,33.10%,24.40%,24.60%,33.05%,45.83%,49.07%,46.80%,57.40%,69.63%,Upgrade
Operating Margin,1.28%,8.17%,-23.04%,-1.22%,5.09%,16.79%,21.98%,18.58%,32.39%,54.03%,Upgrade
Profit Margin,-0.04%,12.82%,-20.08%,0.10%,5.31%,12.38%,17.36%,15.05%,23.06%,40.20%,Upgrade
Free Cash Flow Margin,-3.09%,6.24%,9.70%,13.86%,18.92%,18.81%,19.31%,13.16%,10.93%,4.43%,Upgrade
Effective Tax Rate,-,1.69%,-,-,-62.13%,16.61%,14.26%,9.82%,24.98%,25.09%,Upgrade
EBITDA,52.22,203.57,-180.18,6.5,66.4,174.26,224.02,179.67,315.68,435.75,Upgrade
EBITDA Margin,4.72%,18.10%,-20.59%,0.65%,7.49%,20.12%,25.74%,23.27%,37.04%,58.87%,Upgrade
Depreciation & Amortization,38.06,37.25,21.38,18.67,21.26,28.8,32.79,36.22,39.59,35.83,Upgrade
EBIT,14.16,166.33,-201.55,-12.17,45.14,145.47,191.23,143.45,276.09,399.91,Upgrade
EBIT Margin,1.28%,14.79%,-23.04%,-1.22%,5.09%,16.79%,21.98%,18.58%,32.39%,54.03%,Upgrade
