Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1996
Revenue,"1,415.5","3,689.47","2,424.65","3,464.35","1,547.1","3,891.65","2,220.28","1,518.94","2,168.97","2,610.69",Upgrade
Revenue Growth (YoY),-61.63%,52.17%,-30.01%,123.93%,-60.25%,75.28%,46.17%,-29.97%,-16.92%,58.00%,Upgrade
Cost of Revenue,920.75,"2,749.39","1,593.01","1,322.99","1,650.37","2,066.89",777.96,"1,013.51","1,515.52","1,325.94",Upgrade
Gross Profit,494.75,940.08,831.64,"2,141.35",-103.27,"1,824.77","1,442.33",505.43,653.46,"1,284.75",Upgrade
"Selling, General & Admin",615.3,268.33,649.55,87.72,327.99,255.96,374.01,286.11,163.58,365.47,Upgrade
Other Operating Expenses,648.16,396.4,621.8,242.74,351.5,288.3,353.4,305.61,213,345.03,Upgrade
Operating Expenses,"1,263.46",664.73,"1,271.35",330.46,679.49,544.27,727.41,591.72,376.58,710.5,Upgrade
Operating Income,-768.71,275.35,-439.72,"1,810.9",-782.76,"1,280.5",714.92,-86.3,276.88,574.26,Upgrade
Interest Expense / Income,37.43,30.91,31.11,41.29,40.99,44.49,41.21,41.09,48.49,50.96,Upgrade
Other Expense / Income,"-2,352.24",-358.3,"-1,286.79","1,454.04","-1,389.49",919.74,543.47,-464.7,32.32,133.97,Upgrade
Pretax Income,"1,546.1",602.75,815.96,315.57,565.74,316.27,130.25,337.31,196.06,389.33,Upgrade
Income Tax,325.16,128.76,144.5,69.48,107.73,141.63,47,117.48,70.04,136.05,Upgrade
Net Income,"1,220.94",473.99,671.46,246.09,458.02,174.65,83.24,219.83,126.02,253.28,Upgrade
Preferred Dividends,43.68,43.68,33.52,0,0,0,0,0,0,0,Upgrade
Net Income Common,"1,177.27",430.32,637.95,246.09,458.02,174.65,83.24,219.83,126.02,253.28,Upgrade
Net Income Growth,173.58%,-32.55%,159.23%,-46.27%,162.26%,109.80%,-62.13%,74.44%,-50.24%,338.22%,Upgrade
Shares Outstanding (Basic),86,93,92,91,90,89,88,82,76,69,Upgrade
Shares Change,-7.36%,0.54%,1.07%,0.78%,1.37%,1.20%,7.99%,7.87%,9.48%,9.95%,Upgrade
EPS (Basic),13.00,4.58,6.93,2.70,5.07,1.96,0.98,2.78,1.69,3.86,Upgrade
EPS (Diluted),12.86,4.55,6.90,2.68,5.01,1.93,0.97,2.72,1.58,3.38,Upgrade
EPS Growth,182.64%,-34.06%,157.46%,-46.51%,159.59%,98.97%,-64.34%,72.15%,-53.25%,279.78%,Upgrade
Free Cash Flow Per Share,14.92,41.93,14.04,36.77,0.43,21.53,16.07,6.17,9.35,12.48,Upgrade
Dividend Per Share,0.360,0.340,0.320,0.300,0.280,0.260,0.240,0.220,0.200,0.180,Upgrade
Dividend Growth,5.88%,6.25%,6.67%,7.14%,7.69%,8.33%,9.09%,10.00%,11.11%,20.00%,Upgrade
Gross Margin,34.95%,25.48%,34.30%,61.81%,-6.67%,46.89%,64.96%,33.27%,30.13%,49.21%,Upgrade
Operating Margin,-54.31%,7.46%,-18.14%,52.27%,-50.60%,32.90%,32.20%,-5.68%,12.77%,22.00%,Upgrade
Profit Margin,83.17%,11.66%,26.31%,7.10%,29.60%,4.49%,3.75%,14.47%,5.81%,9.70%,Upgrade
Free Cash Flow Margin,90.34%,105.14%,53.28%,96.62%,2.51%,49.31%,63.74%,33.15%,32.57%,33.01%,Upgrade
Effective Tax Rate,21.03%,21.36%,17.71%,22.02%,19.04%,44.78%,36.09%,34.83%,35.72%,34.94%,Upgrade
EBITDA,"1,597.71",639.18,852.27,360.92,610.21,364.71,175.33,383.01,254.05,458.67,Upgrade
EBITDA Margin,112.87%,17.32%,35.15%,10.42%,39.44%,9.37%,7.90%,25.22%,11.71%,17.57%,Upgrade
Depreciation & Amortization,14.19,5.53,5.2,4.07,3.47,3.95,3.88,4.61,9.49,18.38,Upgrade
EBIT,"1,583.53",633.65,847.07,356.85,606.73,360.76,171.45,378.4,244.56,440.29,Upgrade
EBIT Margin,111.87%,17.17%,34.94%,10.30%,39.22%,9.27%,7.72%,24.91%,11.28%,16.86%,Upgrade
