Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2000
Revenue,"1,477.49","1,312.01",935.81,"1,002.69",902.82,664.55,427.67,313.97,241.95,215.15,Upgrade
Revenue Growth (YoY),12.61%,40.20%,-6.67%,11.06%,35.85%,55.39%,36.21%,29.77%,12.46%,7.20%,Upgrade
Gross Profit,"1,477.49","1,312.01",935.81,"1,002.69",902.82,664.55,427.67,313.97,241.95,215.15,Upgrade
"Selling, General & Admin",651.09,552.34,441.47,419.34,365.48,277.81,186.36,141.26,118.93,109.81,Upgrade
Other Operating Expenses,128.91,107.77,122.99,85.81,87.39,88.75,49.93,29.61,17.37,19.45,Upgrade
Operating Expenses,780,660.1,564.46,505.15,452.87,366.56,236.29,170.88,136.3,129.26,Upgrade
Operating Income,697.49,651.91,371.36,497.54,449.95,297.99,191.38,143.1,105.65,85.88,Upgrade
Pretax Income,697.49,651.91,371.36,497.54,449.95,297.99,191.38,143.1,105.65,85.88,Upgrade
Income Tax,136.75,124.58,59.04,96.66,90.51,124.01,64.16,47.59,35.18,28.16,Upgrade
Net Income,560.74,527.32,312.32,400.88,359.44,173.98,127.23,95.51,70.47,57.73,Upgrade
Preferred Dividends,15.19,15.19,7.6,0,0,0,0,0,0,0,Upgrade
Net Income Common,545.55,512.13,304.73,400.88,359.44,173.98,127.23,95.51,70.47,57.73,Upgrade
Net Income Growth,6.53%,68.06%,-23.99%,11.53%,106.60%,36.75%,33.21%,35.53%,22.08%,51.63%,Upgrade
Shares Outstanding (Basic),76,75,75,76,77,64,43,37,35,34,Upgrade
Shares Outstanding (Diluted),76,76,76,77,77,64,44,38,35,35,Upgrade
Shares Change,0.27%,0.36%,-1.45%,-0.89%,20.40%,47.10%,15.16%,8.10%,1.79%,0.06%,Upgrade
EPS (Basic),7.20,6.79,4.04,5.25,4.66,2.73,2.96,2.58,2.03,1.69,Upgrade
EPS (Diluted),7.17,6.75,4.03,5.22,4.64,2.70,2.91,2.52,2.01,1.67,Upgrade
EPS Growth,6.22%,67.49%,-22.80%,12.50%,71.85%,-7.22%,15.48%,25.37%,20.36%,51.82%,Upgrade
Free Cash Flow Per Share,7.15,8.41,5.13,5.10,5.84,1.76,3.19,2.01,2.57,3.54,Upgrade
Dividend Per Share,0.880,0.720,0.640,0.640,0.580,0.560,0.560,0.480,0.320,0.080,Upgrade
Dividend Growth,22.22%,12.50%,0%,10.34%,3.57%,0%,16.67%,50.00%,300.00%,-,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,47.21%,49.69%,39.68%,49.62%,49.84%,44.84%,44.75%,45.58%,43.67%,39.92%,Upgrade
Profit Margin,36.92%,39.03%,32.56%,39.98%,39.81%,26.18%,29.75%,30.42%,29.13%,26.83%,Upgrade
Free Cash Flow Margin,36.63%,48.36%,41.35%,38.84%,49.84%,16.91%,32.14%,23.73%,36.86%,56.31%,Upgrade
Effective Tax Rate,19.61%,19.11%,15.90%,19.43%,20.12%,41.62%,33.52%,33.26%,33.30%,32.79%,Upgrade
EBITDA,759.79,705.16,416.56,505.88,426.34,274.37,191.57,153.37,114.93,95.13,Upgrade
EBITDA Margin,51.42%,53.75%,44.51%,50.45%,47.22%,41.29%,44.79%,48.85%,47.50%,44.22%,Upgrade
Depreciation & Amortization,62.3,53.26,45.2,8.34,-23.6,-23.62,0.19,10.27,9.28,9.25,Upgrade
EBIT,697.49,651.91,371.36,497.54,449.95,297.99,191.38,143.1,105.65,85.88,Upgrade
EBIT Margin,47.21%,49.69%,39.68%,49.62%,49.84%,44.84%,44.75%,45.58%,43.67%,39.92%,Upgrade
