Year,2022,2021,2020,2019
Revenue,47.36,74.2,18.96,8.62
Revenue Growth (YoY),-36.17%,291.43%,120.00%,-
Cost of Revenue,81.82,20.56,15.04,5.89
Gross Profit,-34.46,53.65,3.92,2.72
"Selling, General & Admin",32.46,10.83,2.32,1.76
Other Operating Expenses,66.4,0,0,1.79
Operating Expenses,98.86,10.83,2.32,3.56
Operating Income,-133.32,42.82,1.6,-0.83
Interest Expense / Income,18.32,2.14,0.16,0.04
Other Expense / Income,42.95,1.41,-,-0.01
Pretax Income,-194.59,39.27,1.44,-0.87
Income Tax,-0.36,8.51,0,0
Net Income,-194.23,30.77,1.44,-0.87
Net Income Growth,-,2033.50%,-,-
Shares Outstanding (Basic),469,457,303,294
Shares Outstanding (Diluted),-,-,335,294
Shares Change,2.70%,36.52%,13.92%,-
EPS (Basic),-0.41,0.08,0.01,-0.00
EPS (Diluted),-0.41,0.07,0.00,-0.00
EPS Growth,-,1750.00%,-,-
Free Cash Flow Per Share,-0.32,-0.34,0.01,-0.05
Gross Margin,-72.76%,72.30%,20.68%,31.60%
Operating Margin,-281.48%,57.71%,8.43%,-9.68%
Profit Margin,-410.09%,41.46%,7.61%,-10.09%
Free Cash Flow Margin,-312.45%,-207.83%,7.47%,-184.68%
Effective Tax Rate,-,21.66%,-,-
EBITDA,-152.82,52.92,7.63,1.39
EBITDA Margin,-322.66%,71.32%,40.23%,16.17%
Depreciation & Amortization,23.45,11.51,6.03,2.22
EBIT,-176.27,41.41,1.6,-0.83
EBIT Margin,-372.17%,55.81%,8.43%,-9.61%
