Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Revenue,848.22,816.47,777.82,812.45,771.83,739.03,688.42,636.39,586.55,547.11,Upgrade
Revenue Growth (YoY),3.89%,4.97%,-4.26%,5.26%,4.44%,7.35%,8.18%,8.50%,7.21%,6.24%,Upgrade
Cost of Revenue,569.64,525.91,467.16,515.37,581.81,492.28,427.69,402.23,391.2,345.04,Upgrade
Gross Profit,278.58,290.56,310.66,297.09,190.02,246.74,260.73,234.16,195.35,202.07,Upgrade
"Selling, General & Admin",280.35,258.1,244.93,237,234.23,231.6,216.33,197.22,174.81,163.95,Upgrade
Other Operating Expenses,0,0,0,0,0,0,0,8.23,2.75,3.78,Upgrade
Operating Expenses,280.35,258.1,244.93,237,234.23,231.6,216.33,205.45,177.55,167.73,Upgrade
Operating Income,-1.77,32.46,65.73,60.08,-44.22,15.14,44.4,28.7,17.8,34.35,Upgrade
Interest Expense / Income,0.62,0.9,1.2,1.58,2.3,1.59,1.66,1.11,1.52,1.64,Upgrade
Other Expense / Income,1.24,1.22,1.26,1.42,1.72,1.43,1.41,-,-,-,Upgrade
Pretax Income,-3.64,30.34,63.27,57.08,-48.24,12.11,41.33,27.59,16.28,32.71,Upgrade
Income Tax,-1.68,5.08,10.46,9.93,-15.48,5,10.53,6.6,1.74,6.39,Upgrade
Net Income,-1.96,25.25,52.82,47.15,-32.76,7.12,30.8,20.99,14.54,26.32,Upgrade
Net Income Growth,-,-52.18%,12.01%,-,-,-76.90%,46.74%,44.37%,-44.76%,13.98%,Upgrade
Shares Outstanding (Basic),32,31,30,29,28,27,27,28,27,26,Upgrade
Shares Change,3.63%,5.23%,3.80%,1.12%,3.40%,2.32%,-4.51%,4.24%,2.57%,2.41%,Upgrade
EPS (Basic),-0.06,0.83,1.84,1.68,-1.18,0.27,1.19,0.78,0.56,1.04,Upgrade
EPS (Diluted),-0.06,0.83,1.83,1.67,-1.18,0.26,1.16,0.77,0.55,1.02,Upgrade
EPS Growth,-,-54.64%,9.58%,-,-,-77.59%,50.65%,40.00%,-46.08%,12.09%,Upgrade
Free Cash Flow Per Share,2.07,2.49,3.39,2.66,2.25,2.91,2.23,2.42,1.57,1.70,Upgrade
Dividend Per Share,0.655,0.630,0.595,0.577,0.568,0.558,0.548,0.536,0.522,0.505,Upgrade
Dividend Growth,3.97%,5.88%,3.12%,1.58%,1.79%,1.82%,2.24%,2.68%,3.37%,3.70%,Upgrade
Gross Margin,32.84%,35.59%,39.94%,36.57%,24.62%,33.39%,37.87%,36.79%,33.31%,36.93%,Upgrade
Operating Margin,-0.21%,3.98%,8.45%,7.39%,-5.73%,2.05%,6.45%,4.51%,3.03%,6.28%,Upgrade
Profit Margin,-0.23%,3.09%,6.79%,5.80%,-4.24%,0.96%,4.47%,3.30%,2.48%,4.81%,Upgrade
Free Cash Flow Margin,7.92%,9.55%,12.99%,9.38%,8.25%,10.81%,8.66%,10.69%,7.23%,8.18%,Upgrade
Effective Tax Rate,-,16.76%,16.53%,17.40%,-,41.26%,25.47%,23.93%,10.71%,19.53%,Upgrade
EBITDA,1.82,37.07,71.19,64.23,-39.33,19.82,49.57,35.44,21.32,37.39,Upgrade
EBITDA Margin,0.22%,4.54%,9.15%,7.91%,-5.10%,2.68%,7.20%,5.57%,3.64%,6.83%,Upgrade
Depreciation & Amortization,4.84,5.84,6.72,5.57,6.61,6.11,6.59,6.74,3.52,3.05,Upgrade
EBIT,-3.02,31.23,64.47,58.66,-45.93,13.71,42.99,28.7,17.8,34.35,Upgrade
EBIT Margin,-0.36%,3.83%,8.29%,7.22%,-5.95%,1.85%,6.24%,4.51%,3.03%,6.28%,Upgrade
