Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1998
Revenue,"1,445.81","1,300.45","1,448.27","1,326.89","1,135.68","1,102.92","1,143.37",926.61,859.25,878.37,Upgrade
Revenue Growth (YoY),11.18%,-10.21%,9.15%,16.84%,2.97%,-3.54%,23.39%,7.84%,-2.18%,-7.12%,Upgrade
Gross Profit,"1,445.81","1,300.45","1,448.27","1,326.89","1,135.68","1,102.92","1,143.37",926.61,859.25,878.37,Upgrade
"Selling, General & Admin","1,039.55",900.65,"1,000.94",958.86,791.53,746.1,795.96,632.3,608.51,609.14,Upgrade
Other Operating Expenses,69.47,33.53,29.18,20.11,13.87,15.32,11.73,14.86,12.8,17.48,Upgrade
Operating Expenses,"1,109.02",934.18,"1,030.12",978.97,805.4,761.42,807.69,647.16,621.3,626.62,Upgrade
Operating Income,336.8,366.27,418.15,347.93,330.28,341.51,335.68,279.45,237.95,251.74,Upgrade
Interest Expense / Income,11.07,1.79,2.68,5.04,5.89,4.77,4.17,4.3,9.61,12.46,Upgrade
Other Expense / Income,14.57,-9.79,-20.93,-17.6,30.22,-11.71,3.17,2.42,-10.43,-15.56,Upgrade
Pretax Income,311.15,374.28,436.4,360.49,294.17,348.44,328.34,272.73,238.77,254.84,Upgrade
Income Tax,71.66,103.98,110.04,88.15,73.88,57.1,119.42,102.92,89.53,92.66,Upgrade
Net Income,239.5,270.29,326.36,272.34,220.3,291.34,208.92,169.81,149.24,162.18,Upgrade
Net Income Growth,-11.39%,-17.18%,19.84%,23.62%,-24.39%,39.45%,23.03%,13.78%,-7.98%,-13.78%,Upgrade
Shares Outstanding (Basic),89,97,99,101,101,101,102,104,105,105,Upgrade
Shares Change,-8.11%,-2.53%,-1.75%,0.64%,-0.40%,-1.29%,-1.82%,-0.47%,0.00%,0.65%,Upgrade
EPS (Basic),2.65,2.77,3.25,2.69,2.18,2.87,2.03,1.62,1.42,1.55,Upgrade
EPS (Diluted),2.65,2.75,3.23,2.69,2.18,2.87,2.03,1.62,1.42,1.55,Upgrade
EPS Growth,-3.64%,-14.86%,20.07%,23.39%,-24.04%,41.38%,25.31%,14.08%,-8.39%,-13.41%,Upgrade
Free Cash Flow Per Share,3.59,1.65,3.62,3.16,1.88,3.74,2.47,2.18,1.76,2.40,Upgrade
Dividend Per Share,1.080,1.080,2.080,1.080,1.060,1.000,2.000,1.000,1.000,0.980,Upgrade
Dividend Growth,0%,-48.08%,92.59%,1.89%,6.00%,-50.00%,100.00%,0%,2.04%,-60.32%,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,23.29%,28.17%,28.87%,26.22%,29.08%,30.96%,29.36%,30.16%,27.69%,28.66%,Upgrade
Profit Margin,16.56%,20.78%,22.53%,20.52%,19.40%,26.42%,18.27%,18.33%,17.37%,18.46%,Upgrade
Free Cash Flow Margin,22.10%,12.30%,24.84%,24.11%,16.64%,34.23%,22.11%,24.51%,21.37%,28.54%,Upgrade
Effective Tax Rate,23.03%,27.78%,25.21%,24.45%,25.11%,16.39%,36.37%,37.74%,37.50%,36.36%,Upgrade
EBITDA,350.31,406.07,469.01,393.52,320.11,371.88,354.07,301.62,271.78,286.89,Upgrade
EBITDA Margin,24.23%,31.23%,32.38%,29.66%,28.19%,33.72%,30.97%,32.55%,31.63%,32.66%,Upgrade
Depreciation & Amortization,28.09,30.01,29.93,28,20.05,18.66,21.56,24.59,23.4,19.59,Upgrade
EBIT,322.23,376.06,439.08,365.52,300.06,353.21,332.51,277.03,248.38,267.3,Upgrade
EBIT Margin,22.29%,28.92%,30.32%,27.55%,26.42%,32.03%,29.08%,29.90%,28.91%,30.43%,Upgrade
