Year,2022,2021,2020,2019,2018,2017,2016,2015,2014
Revenue,69.68,61.44,56.52,59.52,51.16,48.18,44.87,41.82,39.83
Revenue Growth (YoY),13.41%,8.71%,-5.05%,16.34%,6.20%,7.37%,7.29%,5.00%,-
Cost of Revenue,44.53,34.7,32.56,33.71,31.26,29.01,24.34,23.8,22.75
Gross Profit,25.15,26.74,23.96,25.81,19.9,19.17,20.53,18.02,17.08
"Selling, General & Admin",25.67,21.55,19.17,20.6,18.76,17.86,16.31,14.87,14.59
Operating Expenses,25.67,21.55,19.17,20.6,18.76,17.86,16.31,14.87,14.59
Operating Income,-0.53,5.19,4.79,5.21,1.14,1.31,4.21,3.15,2.5
Interest Expense / Income,0.2,0.24,0.21,0.13,0.14,0.23,0.23,0.14,0.13
Pretax Income,-0.72,4.96,4.58,5.08,1,1.08,3.99,3.02,2.36
Income Tax,-0.14,0.82,1.05,0.79,0.11,0.37,1.18,0.86,0.78
Net Income,-0.58,4.14,3.53,4.29,0.89,0.71,2.81,2.15,1.59
Net Income Growth,-,17.31%,-17.77%,380.73%,26.20%,-74.81%,30.43%,35.91%,-
Shares Outstanding (Basic),3,3,3,3,3,3,3,4,-
Shares Outstanding (Diluted),3,3,3,3,3,3,3,-,-
Shares Change,-1.07%,0.76%,0.93%,-3.44%,-1.17%,0.26%,-10.00%,-,-
EPS (Basic),-0.19,1.36,1.17,1.43,0.29,0.22,0.89,-,-
EPS (Diluted),-0.19,1.35,1.16,1.42,0.29,0.22,0.89,-,-
EPS Growth,-,16.38%,-18.31%,389.66%,31.82%,-75.28%,-,-,-
Free Cash Flow Per Share,3.32,1.47,0.41,0.71,1.70,0.07,1.20,1.48,-
Gross Margin,36.09%,43.52%,42.39%,43.36%,38.90%,39.79%,45.75%,43.09%,42.89%
Operating Margin,-0.75%,8.45%,8.47%,8.75%,2.23%,2.71%,9.39%,7.54%,6.27%
Profit Margin,-0.83%,6.74%,6.25%,7.21%,1.75%,1.47%,6.26%,5.15%,3.98%
Free Cash Flow Margin,14.44%,7.27%,2.20%,3.61%,10.37%,0.42%,8.43%,12.35%,16.76%
Effective Tax Rate,-,16.44%,22.87%,15.49%,10.62%,34.47%,29.52%,28.57%,32.95%
EBITDA,0.17,5.9,5.47,6,1.87,2.13,5.03,3.66,3.01
EBITDA Margin,0.24%,9.60%,9.68%,10.09%,3.66%,4.42%,11.21%,8.75%,7.56%
Depreciation & Amortization,0.69,0.71,0.68,0.79,0.73,0.82,0.82,0.51,0.51
EBIT,-0.53,5.19,4.79,5.21,1.14,1.31,4.21,3.15,2.5
EBIT Margin,-0.75%,8.45%,8.47%,8.75%,2.23%,2.71%,9.39%,7.54%,6.27%
