Year,2022,2021,2020,2019,2018,2017,2016,2015
Revenue,298.77,309.67,220.36,251.13,209.39,159.29,106.17,90.51
Revenue Growth (YoY),-3.52%,40.53%,-12.25%,19.93%,31.45%,50.03%,17.31%,-
Gross Profit,298.77,309.67,220.36,251.13,209.39,159.29,106.17,90.51
"Selling, General & Admin",162.5,146.77,134.77,145.63,131.68,103.01,83.29,81.65
Other Operating Expenses,21.59,38.69,33.93,28.2,22.27,15.48,17.4,23.52
Operating Expenses,184.08,185.46,168.69,173.83,153.95,118.5,100.69,105.17
Operating Income,114.68,124.21,51.67,77.3,55.44,40.79,5.48,-14.67
Pretax Income,114.68,124.21,51.67,77.3,55.44,40.79,5.48,-14.67
Income Tax,26.73,31.43,14.2,20.29,14.25,19.1,-61.25,0.31
Net Income,87.95,92.79,37.47,57,41.19,21.7,66.73,-14.97
Preferred Dividends,0.2,0.78,0.78,0.78,0.78,11.28,0,0
Net Income Common,87.76,92,36.68,56.22,40.41,10.42,66.73,-14.97
Net Income Growth,-4.61%,150.80%,-34.75%,39.12%,287.89%,-84.39%,-,-
Shares Outstanding (Basic),37,38,39,38,36,29,29,-
Shares Change,-0.62%,-2.26%,1.07%,5.13%,23.88%,0.22%,-,-
EPS (Basic),2.37,2.45,0.96,1.51,1.21,0.39,3.31,-0.86
EPS (Diluted),2.34,2.40,0.96,1.48,1.18,0.38,3.27,-0.86
EPS Growth,-2.50%,150.00%,-35.14%,25.42%,210.53%,-88.38%,-,-
Free Cash Flow Per Share,5.78,1.92,2.73,0.66,2.17,0.83,-0.02,-
Dividend Per Share,0.360,0.300,0.120,0.030,-,-,-,-
Dividend Growth,20.00%,150.00%,300.00%,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,38.39%,40.11%,23.45%,30.78%,26.48%,25.61%,5.17%,-16.21%
Profit Margin,29.37%,29.71%,16.65%,22.39%,19.30%,6.54%,62.85%,-16.54%
Free Cash Flow Margin,72.54%,23.41%,47.71%,9.98%,37.63%,15.26%,-0.52%,-50.98%
Effective Tax Rate,23.31%,25.30%,27.48%,26.25%,25.70%,46.82%,-1116.79%,-
EBITDA,118.97,130.2,58.15,83.68,61.02,45.99,10.54,-8.87
EBITDA Margin,39.82%,42.05%,26.39%,33.32%,29.14%,28.87%,9.93%,-9.80%
Depreciation & Amortization,4.29,5.99,6.48,6.39,5.58,5.19,5.06,5.8
EBIT,114.68,124.21,51.67,77.3,55.44,40.79,5.48,-14.67
EBIT Margin,38.39%,40.11%,23.45%,30.78%,26.48%,25.61%,5.17%,-16.21%
