Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Revenue,77.43,69.47,52.81,44.13,42.18,39.62,31.72,24.64,27.99,27.88,Upgrade
Revenue Growth (YoY),11.45%,31.56%,19.65%,4.64%,6.46%,24.91%,28.73%,-11.97%,0.41%,1.29%,Upgrade
Gross Profit,77.43,69.47,52.81,44.13,42.18,39.62,31.72,24.64,27.99,27.88,Upgrade
"Selling, General & Admin",34.19,32.02,27.15,23.21,21.67,20.11,17.31,13.68,13.62,13.45,Upgrade
Other Operating Expenses,6.85,6.6,7.29,4.1,4.31,4.76,5.82,3.42,4.11,3.25,Upgrade
Operating Expenses,41.04,38.61,34.44,27.31,25.98,24.87,23.12,17.1,17.73,16.71,Upgrade
Operating Income,36.39,30.86,18.37,16.82,16.2,14.75,8.6,7.54,10.26,11.17,Upgrade
Pretax Income,36.39,30.86,18.37,16.82,16.2,14.75,8.6,7.54,10.26,11.17,Upgrade
Income Tax,7.15,5.95,3.29,2.61,2.55,6.55,1.88,1.63,2.61,2.71,Upgrade
Net Income,29.23,24.92,15.08,14.22,13.65,8.2,6.71,5.91,7.66,8.47,Upgrade
Net Income Growth,17.33%,65.22%,6.09%,4.13%,66.52%,22.16%,13.59%,-22.84%,-9.55%,0.74%,Upgrade
Shares Outstanding (Basic),8,8,8,6,6,6,6,6,5,5,Upgrade
Shares Change,-0.49%,-0.30%,30.16%,0.51%,0.54%,0.75%,11.96%,1.07%,0.50%,0.61%,Upgrade
EPS (Basic),3.59,3.05,2.09,2.27,2.19,1.32,1.16,1.07,1.40,1.55,Upgrade
EPS (Diluted),3.58,3.04,2.09,2.25,2.17,1.31,1.15,1.07,1.40,1.55,Upgrade
EPS Growth,17.76%,45.45%,-7.11%,3.69%,65.65%,13.91%,7.48%,-23.57%,-9.85%,0%,Upgrade
Free Cash Flow Per Share,3.51,3.44,1.59,2.71,2.62,2.40,1.76,1.85,1.89,2.26,Upgrade
Dividend Per Share,1.120,1.040,1.000,0.960,0.880,0.860,0.827,0.820,0.800,0.762,Upgrade
Dividend Growth,7.69%,4.00%,4.17%,9.09%,2.33%,3.99%,0.85%,2.50%,4.99%,4.81%,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,46.99%,44.42%,34.78%,38.12%,38.42%,37.23%,27.10%,30.60%,36.67%,40.07%,Upgrade
Profit Margin,37.75%,35.86%,28.56%,32.21%,32.36%,20.69%,21.16%,23.98%,27.36%,30.37%,Upgrade
Free Cash Flow Margin,36.91%,40.44%,24.73%,38.66%,38.94%,37.69%,34.25%,41.43%,36.93%,44.12%,Upgrade
Effective Tax Rate,19.66%,19.26%,17.89%,15.50%,15.76%,44.42%,21.92%,21.64%,25.39%,24.22%,Upgrade
EBITDA,37.96,32.46,19.8,17.93,17.23,15.82,9.44,8.2,10.96,11.9,Upgrade
EBITDA Margin,49.02%,46.73%,37.50%,40.62%,40.84%,39.93%,29.77%,33.26%,39.14%,42.70%,Upgrade
Depreciation & Amortization,1.57,1.6,1.44,1.11,1.02,1.07,0.85,0.66,0.69,0.73,Upgrade
EBIT,36.39,30.86,18.37,16.82,16.2,14.75,8.6,7.54,10.26,11.17,Upgrade
EBIT Margin,46.99%,44.42%,34.78%,38.12%,38.42%,37.23%,27.10%,30.60%,36.67%,40.07%,Upgrade
