Year,2022,2021,2020,2019,2018,2017,2016
Revenue,"2,143.32","1,797.95","1,361.32","1,218.34",910.88,662.89,485.44
Revenue Growth (YoY),19.21%,32.07%,11.74%,33.75%,37.41%,36.55%,-
Gross Profit,"2,143.32","1,797.95","1,361.32","1,218.34",910.88,662.89,485.44
"Selling, General & Admin","1,106.31",888.76,712.59,664.38,528.35,400.17,276.84
Other Operating Expenses,742.71,806.32,528.91,486.32,338.09,256.96,170.33
Operating Expenses,"1,849.01","1,695.08","1,241.49","1,150.7",866.45,657.13,447.16
Operating Income,294.31,102.87,119.83,67.65,44.43,5.75,38.28
Interest Expense / Income,99.89,55,41.66,58.29,56.45,41.86,21.33
Other Expense / Income,49.56,17.38,29.47,15.18,-20.87,13.75,0.25
Pretax Income,144.86,30.49,48.71,-5.82,8.86,-49.86,16.7
Income Tax,53.08,20.08,20.66,7.05,9.45,-1.5,0.98
Net Income,91.78,10.41,28.05,-12.87,-0.59,-48.36,15.72
Net Income Growth,781.52%,-62.87%,-,-,-,-,-
Shares Outstanding (Basic),66,57,49,47,43,-,-
Shares Outstanding (Diluted),66,58,49,47,43,-,-
Shares Change,13.80%,18.51%,4.28%,8.51%,-,-,-
EPS (Basic),1.40,0.18,0.58,-0.28,-0.01,-,-
EPS (Diluted),1.39,0.18,0.57,-0.28,-0.01,-,-
EPS Growth,672.22%,-68.42%,-,-,-,-,-
Free Cash Flow Per Share,4.08,5.29,3.94,3.62,2.25,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,13.73%,5.72%,8.80%,5.55%,4.88%,0.87%,7.89%
Profit Margin,4.28%,0.58%,2.06%,-1.06%,-0.06%,-7.30%,3.24%
Free Cash Flow Margin,12.48%,16.85%,14.10%,13.90%,10.63%,8.84%,15.19%
Effective Tax Rate,36.64%,65.86%,42.42%,-,106.66%,-,5.87%
EBITDA,521.87,287.97,250.6,193.86,164.06,63.05,94.65
EBITDA Margin,24.35%,16.02%,18.41%,15.91%,18.01%,9.51%,19.50%
Depreciation & Amortization,277.12,202.47,160.23,141.39,98.75,71.05,56.62
EBIT,244.75,85.5,90.36,52.47,65.31,-8,38.03
EBIT Margin,11.42%,4.76%,6.64%,4.31%,7.17%,-1.21%,7.83%
