Year,2022,2021,2020,2019,2018,2017
Revenue,163.35,163.97,122.97,89.24,71.87,61.41
Revenue Growth (YoY),-0.38%,33.34%,37.80%,24.16%,17.05%,-
Gross Profit,163.35,163.97,122.97,89.24,71.87,61.41
"Selling, General & Admin",83.4,86.21,68.06,54.52,45.13,39.19
Other Operating Expenses,25.71,23.88,19.78,12,9,8.12
Operating Expenses,109.11,110.09,87.83,66.53,54.12,47.31
Operating Income,54.23,53.88,35.14,22.71,17.75,14.1
Pretax Income,54.23,53.88,35.14,22.71,17.75,14.1
Income Tax,12.43,13.9,9.31,5.82,4.98,6.99
Net Income,41.8,39.98,25.82,16.9,12.77,7.11
Net Income Growth,4.57%,54.82%,52.84%,32.33%,79.59%,-
Shares Outstanding (Basic),14,14,14,14,12,11
Shares Outstanding (Diluted),14,14,14,14,12,11
Shares Change,1.99%,2.04%,-1.21%,12.09%,9.05%,-
EPS (Basic),2.98,2.90,1.87,1.23,1.05,0.63
EPS (Diluted),2.91,2.84,1.87,1.21,1.02,0.62
EPS Growth,2.46%,51.87%,54.55%,18.63%,64.52%,-
Free Cash Flow Per Share,3.55,9.57,0.38,-2.00,2.19,2.96
Dividend Per Share,0.220,0.100,-,-,-,-
Dividend Growth,120.00%,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,33.20%,32.86%,28.57%,25.45%,24.70%,22.96%
Profit Margin,25.59%,24.38%,21.00%,18.93%,17.76%,11.58%
Free Cash Flow Margin,30.51%,80.53%,4.22%,-30.83%,36.96%,54.38%
Effective Tax Rate,22.92%,25.80%,26.51%,25.62%,28.07%,49.58%
EBITDA,55.67,55.08,37.03,25.07,18.83,15.08
EBITDA Margin,34.08%,33.59%,30.11%,28.09%,26.20%,24.56%
Depreciation & Amortization,1.43,1.21,1.89,2.35,1.09,0.98
EBIT,54.23,53.88,35.14,22.71,17.75,14.1
EBIT Margin,33.20%,32.86%,28.57%,25.45%,24.70%,22.96%
