Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Revenue,54.97,51.3,48.44,51.22,51.63,48.6,41.74,41,40.49,40.43,Upgrade
Revenue Growth (YoY),7.17%,5.90%,-5.42%,-0.79%,6.22%,16.45%,1.80%,1.27%,0.15%,2.20%,Upgrade
Gross Profit,54.97,51.3,48.44,51.22,51.63,48.6,41.74,41,40.49,40.43,Upgrade
"Selling, General & Admin",28.88,27.81,27.33,29.19,27.86,26.74,24.01,22.02,22.35,21.89,Upgrade
Other Operating Expenses,10.16,9.47,8.8,10.31,9.57,9.87,8.89,7.6,6.94,7.49,Upgrade
Operating Expenses,39.04,37.28,36.13,39.5,37.43,36.61,32.9,29.62,29.29,29.38,Upgrade
Operating Income,15.93,14.02,12.31,11.72,14.2,12,8.84,11.38,11.19,11.05,Upgrade
Pretax Income,15.93,14.02,12.31,11.72,14.2,12,8.84,11.38,11.19,11.05,Upgrade
Income Tax,2.59,2.28,2.05,1.81,2.26,4.49,1.92,2.81,3.12,2.94,Upgrade
Net Income,13.34,11.73,10.26,9.91,11.94,7.51,6.92,8.57,8.07,8.11,Upgrade
Net Income Growth,13.69%,14.36%,3.55%,-17.05%,59.06%,8.51%,-19.29%,6.21%,-0.48%,15.03%,Upgrade
Shares Outstanding (Basic),5,5,5,5,5,5,5,4,4,4,Upgrade
Shares Change,0.02%,-0.35%,0.20%,0.95%,0.87%,0.57%,13.31%,0.46%,0.90%,0.81%,Upgrade
EPS (Basic),2.80,2.45,2.14,2.08,2.53,1.60,1.59,2.08,1.97,2.00,Upgrade
EPS (Diluted),2.80,2.45,2.14,2.08,2.53,1.60,1.59,2.08,1.97,2.00,Upgrade
EPS Growth,14.29%,14.49%,2.88%,-17.79%,58.12%,0.63%,-23.56%,5.58%,-1.50%,14.29%,Upgrade
Free Cash Flow Per Share,2.93,2.54,1.89,1.78,3.26,2.72,2.50,2.05,2.61,2.96,Upgrade
Dividend Per Share,0.990,0.840,0.840,0.840,0.840,0.840,0.840,0.890,0.840,0.730,Upgrade
Dividend Growth,17.86%,0%,0%,0%,0%,0%,-5.62%,5.95%,15.07%,-33.03%,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,28.98%,27.32%,25.41%,22.88%,27.50%,24.68%,21.18%,27.76%,27.65%,27.34%,Upgrade
Profit Margin,24.26%,22.87%,21.18%,19.34%,23.14%,15.45%,16.58%,20.91%,19.94%,20.07%,Upgrade
Free Cash Flow Margin,25.47%,23.59%,18.66%,16.64%,29.86%,26.27%,27.99%,20.60%,26.42%,29.70%,Upgrade
Effective Tax Rate,16.28%,16.30%,16.64%,15.47%,15.88%,37.40%,21.72%,24.68%,27.87%,26.59%,Upgrade
EBITDA,17.5,15.63,13.84,13.18,15.53,13.5,10.11,12.35,12.07,12,Upgrade
EBITDA Margin,31.84%,30.47%,28.56%,25.73%,30.08%,27.77%,24.23%,30.12%,29.80%,29.67%,Upgrade
Depreciation & Amortization,1.57,1.61,1.53,1.46,1.33,1.5,1.27,0.97,0.87,0.95,Upgrade
EBIT,15.93,14.02,12.31,11.72,14.2,12,8.84,11.38,11.19,11.05,Upgrade
EBIT Margin,28.98%,27.32%,25.41%,22.88%,27.50%,24.68%,21.18%,27.76%,27.65%,27.34%,Upgrade
