Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2007
Revenue,499.56,407.92,310.44,242.47,231.29,244.41,264.45,285.95,266.11,241.09,Upgrade
Revenue Growth (YoY),22.47%,31.40%,28.03%,4.83%,-5.37%,-7.58%,-7.52%,7.46%,10.38%,47.85%,Upgrade
Cost of Revenue,371.46,227.53,160.04,107.51,109.33,165.63,124.67,87.22,79.47,65.12,Upgrade
Gross Profit,128.1,180.39,150.4,134.96,121.96,78.78,139.78,198.73,186.64,175.97,Upgrade
"Selling, General & Admin",161.49,139.16,87.69,73.61,64.85,64.79,68.84,70.26,54.44,46.33,Upgrade
Other Operating Expenses,27.26,21.84,13.8,12.2,12.12,12.1,13,11.52,20.79,19.57,Upgrade
Operating Expenses,188.75,161,101.49,85.81,76.97,76.89,81.84,81.78,75.23,65.91,Upgrade
Operating Income,-60.65,19.39,48.91,49.15,45,1.89,57.94,116.95,111.42,110.06,Upgrade
Interest Expense / Income,7.77,6.4,11.73,13.06,18.1,16.77,11.08,10.75,10.45,3.61,Upgrade
Other Expense / Income,3.91,7.14,0.25,-,-,0.74,-,-,-,-,Upgrade
Pretax Income,-72.33,5.85,36.93,36.09,26.9,-15.62,46.86,106.19,100.96,106.45,Upgrade
Income Tax,-13.82,3.99,9.35,9.52,9.18,-8.73,17.84,40.33,38.3,40.89,Upgrade
Net Income,-58.51,1.86,27.58,26.58,17.73,-6.89,29.02,65.86,62.66,65.56,Upgrade
Preferred Dividends,0,0,0,0,0,0,0,0,-0,0.1,Upgrade
Net Income Common,-58.51,1.86,27.58,26.58,17.73,-6.89,29.02,65.86,62.67,65.46,Upgrade
Net Income Growth,-,-93.27%,3.78%,49.94%,-,-,-55.94%,5.10%,-4.26%,119.40%,Upgrade
Shares Outstanding (Basic),9,10,8,8,9,10,10,11,11,11,Upgrade
Shares Change,-14.57%,28.42%,-0.45%,-12.61%,-6.20%,-3.97%,-6.47%,-0.89%,-4.40%,12.83%,Upgrade
EPS (Basic),-6.24,0.23,3.55,3.32,2.34,-0.75,2.95,6.51,5.90,5.82,Upgrade
EPS (Diluted),-6.24,0.21,3.49,3.31,2.34,-0.75,2.92,5.90,5.36,5.63,Upgrade
EPS Growth,-,-93.98%,5.44%,41.45%,-,-,-50.51%,10.07%,-4.80%,86.42%,Upgrade
Free Cash Flow Per Share,0.93,9.09,14.39,6.38,2.88,1.46,9.58,4.08,8.03,4.53,Upgrade
Dividend Per Share,1.600,1.600,1.600,1.600,1.475,1.400,1.200,1.200,1.100,0.950,Upgrade
Dividend Growth,0%,0%,0%,8.47%,5.36%,16.67%,0%,9.09%,15.79%,8.57%,Upgrade
Gross Margin,25.64%,44.22%,48.45%,55.66%,52.73%,32.23%,52.86%,69.50%,70.14%,72.99%,Upgrade
Operating Margin,-12.14%,4.75%,15.76%,20.27%,19.46%,0.77%,21.91%,40.90%,41.87%,45.65%,Upgrade
Profit Margin,-11.71%,0.45%,8.88%,10.96%,7.66%,-2.82%,10.97%,23.03%,23.55%,27.15%,Upgrade
Free Cash Flow Margin,1.63%,22.84%,37.00%,21.10%,11.42%,5.85%,36.91%,15.54%,33.17%,21.59%,Upgrade
Effective Tax Rate,-,68.26%,25.31%,26.37%,34.11%,-,38.06%,37.98%,37.93%,38.41%,Upgrade
EBITDA,-56.55,17.8,57.41,58.09,55.99,10.73,63.34,122.2,116.37,112.16,Upgrade
EBITDA Margin,-11.32%,4.36%,18.49%,23.96%,24.21%,4.39%,23.95%,42.73%,43.73%,46.52%,Upgrade
Depreciation & Amortization,8.01,5.55,8.75,8.94,11,9.59,5.41,5.25,4.96,2.1,Upgrade
EBIT,-64.56,12.25,48.66,49.15,45,1.14,57.94,116.95,111.42,110.06,Upgrade
EBIT Margin,-12.92%,3.00%,15.68%,20.27%,19.46%,0.47%,21.91%,40.90%,41.87%,45.65%,Upgrade
