Year,2022,2021,2020,2019,2018,2017
Revenue,145.18,164.65,121.78,73.49,109.27,144.21
Revenue Growth (YoY),-11.82%,35.20%,65.71%,-32.75%,-24.23%,-
Cost of Revenue,87.66,86.47,60.23,37.19,41.19,65.04
Gross Profit,57.53,78.18,61.54,36.3,68.08,79.18
"Selling, General & Admin",15.98,14.7,11.1,12.48,17.49,23.7
Other Operating Expenses,13.55,17.13,14.55,9.83,17.93,12.17
Operating Expenses,29.52,31.83,25.65,22.31,35.42,35.87
Operating Income,28,46.35,35.9,13.99,32.66,43.31
Interest Expense / Income,2.92,1.16,1.24,1.04,0,0
Pretax Income,25.08,45.19,34.66,12.95,32.66,43.31
Income Tax,7.45,12.01,7.68,2.74,1.28,5.77
Net Income,17.63,33.19,26.98,10.21,31.38,37.53
Net Income Growth,-46.87%,23.01%,164.26%,-67.47%,-16.39%,-
Shares Outstanding (Basic),25,26,24,25,25,-
Shares Change,-2.67%,4.90%,-3.37%,-,-,-
EPS (Basic),0.70,1.33,1.10,0.42,0.13,0.16
EPS (Diluted),0.67,1.28,1.05,0.40,0.12,0.15
EPS Growth,-47.66%,21.90%,162.50%,233.33%,-20.00%,-
Free Cash Flow Per Share,1.29,1.97,1.04,1.22,3.46,-
Dividend Per Share,1.000,1.000,0.839,-,-,-
Dividend Growth,0%,19.19%,-,-,-,-
Gross Margin,39.62%,47.48%,50.54%,49.40%,62.30%,54.90%
Operating Margin,19.29%,28.15%,29.48%,19.03%,29.89%,30.03%
Profit Margin,12.14%,20.16%,22.15%,13.89%,28.72%,26.03%
Free Cash Flow Margin,22.29%,30.70%,20.98%,41.95%,80.17%,35.57%
Effective Tax Rate,29.69%,26.57%,22.17%,21.17%,3.91%,13.33%
EBITDA,31.36,50.9,39.95,17.78,34.86,49.73
EBITDA Margin,21.60%,30.92%,32.81%,24.20%,31.90%,34.49%
Depreciation & Amortization,3.36,4.55,4.05,3.8,2.2,6.43
EBIT,28,46.35,35.9,13.99,32.66,43.31
EBIT Margin,19.29%,28.15%,29.48%,19.03%,29.89%,30.03%
