Year,2022,2021,2020,2019,2018
Revenue,31.45,30.88,25.3,14.33,14.14
Revenue Growth (YoY),1.86%,22.06%,76.54%,1.32%,-
Gross Profit,31.45,30.88,25.3,14.33,14.14
"Selling, General & Admin",17.17,15.91,17.98,12.21,10.68
Other Operating Expenses,4.31,5.06,3.44,1.79,1.82
Operating Expenses,21.48,20.97,21.42,14,12.5
Operating Income,9.97,9.91,3.88,0.33,1.64
Other Expense / Income,0.65,-,-,-,-0.01
Pretax Income,9.33,9.91,3.88,0.33,1.65
Income Tax,2.19,2.34,0.79,-0.03,1.21
Net Income,7.13,7.57,3.09,0.36,0.45
Net Income Growth,-5.80%,145.24%,769.86%,-20.94%,-
Shares Outstanding (Basic),7,7,7,7,-
Shares Outstanding (Diluted),7,7,-,-,-
Shares Change,-2.98%,1.36%,-,-,-
EPS (Basic),1.07,1.10,0.41,0.05,0.06
EPS (Diluted),1.06,1.09,0.41,0.05,0.06
EPS Growth,-2.75%,165.85%,720.00%,-16.67%,-
Free Cash Flow Per Share,0.93,1.59,0.14,0.18,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,31.71%,32.10%,15.34%,2.27%,11.62%
Profit Margin,22.68%,24.52%,12.21%,2.48%,3.17%
Free Cash Flow Margin,19.63%,35.69%,3.82%,8.79%,8.17%
Effective Tax Rate,23.51%,23.59%,20.41%,-8.90%,72.85%
EBITDA,9.67,10.59,4.58,1.21,2.56
EBITDA Margin,30.73%,34.28%,18.09%,8.45%,18.12%
Depreciation & Amortization,0.34,0.67,0.7,0.89,0.91
EBIT,9.33,9.91,3.88,0.33,1.65
EBIT Margin,29.65%,32.10%,15.34%,2.27%,11.69%
