Year,2022,2021,2020,2019,2018,2017,2016
Revenue,210.95,237.99,222.32,181.43,169.36,167.44,164.97
Revenue Growth (YoY),-11.36%,7.05%,22.53%,7.13%,1.15%,1.49%,-
Gross Profit,210.95,237.99,222.32,181.43,169.36,167.44,164.97
"Selling, General & Admin",117.05,129.55,124.98,111.9,106.29,102.37,105.87
Other Operating Expenses,41.72,39.36,38.82,30.64,30.04,32.55,37.92
Operating Expenses,158.77,168.91,163.8,142.54,136.33,134.92,143.79
Operating Income,52.18,69.08,58.52,38.9,33.04,32.52,21.18
Pretax Income,52.18,69.08,58.52,38.9,33.04,32.52,21.18
Income Tax,12.18,16.4,13.84,9.36,7.17,17.51,7.14
Net Income,40.01,52.68,44.68,29.54,25.87,15,14.04
Preferred Dividends,0,0,0,0,0,0,0.03
Net Income Common,40.01,52.68,44.68,29.54,25.87,15,14.01
Net Income Growth,-24.06%,17.92%,51.24%,14.20%,72.43%,7.07%,-
Shares Outstanding (Basic),19,17,17,15,14,14,13
Shares Outstanding (Diluted),19,17,17,15,14,14,14
Shares Change,7.99%,0.28%,15.54%,7.32%,0.40%,0.05%,-
EPS (Basic),2.12,3.02,2.57,1.96,1.88,1.10,1.04
EPS (Diluted),2.10,2.97,2.52,1.91,1.84,1.07,1.00
EPS Growth,-29.29%,17.86%,31.94%,3.80%,71.96%,7.00%,-
Free Cash Flow Per Share,5.43,8.62,-1.52,1.17,3.62,3.47,2.42
Dividend Per Share,0.700,0.630,0.600,0.290,-,-,-
Dividend Growth,11.11%,5.00%,106.90%,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,24.74%,29.03%,26.32%,21.44%,19.51%,19.42%,12.84%
Profit Margin,18.96%,22.14%,20.10%,16.28%,15.27%,8.96%,8.49%
Free Cash Flow Margin,47.96%,62.24%,-11.72%,9.49%,29.41%,28.27%,19.83%
Effective Tax Rate,23.34%,23.74%,23.66%,24.05%,21.71%,53.86%,33.72%
EBITDA,60.42,77.89,67.44,47.66,41.77,42.37,32.56
EBITDA Margin,28.64%,32.73%,30.34%,26.27%,24.66%,25.31%,19.74%
Depreciation & Amortization,8.24,8.81,8.93,8.77,8.73,9.86,11.39
EBIT,52.18,69.08,58.52,38.9,33.04,32.52,21.18
EBIT Margin,24.74%,29.03%,26.32%,21.44%,19.51%,19.42%,12.84%
