Year,2022,2021,2020
"Selling, General & Admin",2.89,1.83,0.08
Operating Expenses,2.89,1.83,0.08
Operating Income,-2.89,-1.83,-0.08
Other Expense / Income,-17.63,-21.16,10.58
Pretax Income,14.74,19.32,-10.66
Income Tax,0.94,0,0
Net Income,13.8,19.32,-10.66
Net Income Growth,-28.57%,-,-
Shares Outstanding (Basic),42,43,10
Shares Outstanding (Diluted),42,43,10
Shares Change,-2.12%,323.03%,-
EPS (Basic),0.33,0.45,-1.05
EPS (Diluted),0.33,0.45,-1.05
EPS Growth,-26.67%,-,-
Free Cash Flow Per Share,-0.03,-0.03,-0.05
Effective Tax Rate,6.36%,-,-
EBITDA,14.74,19.32,-10.66
EBIT,14.74,19.32,-10.66
