Year,2022,2021,2020,2019,2018
Revenue,255.65,961.52,"1,377.34",199.73,164.26
Revenue Growth (YoY),-73.41%,-30.19%,589.62%,21.59%,-
Cost of Revenue,314.1,585.51,468.63,192.75,144.95
Gross Profit,-58.46,376,908.71,6.98,19.31
"Selling, General & Admin",60.32,95.48,67.09,38.18,49.69
Research & Development,16.15,31.87,22.16,0,0
Other Operating Expenses,44.16,39.77,30.79,10.21,11.67
Operating Expenses,120.63,167.11,120.05,48.39,61.36
Operating Income,-179.09,208.9,788.66,-41.41,-42.05
Other Expense / Income,26.28,-15.37,-16.89,-2.7,-9.92
Pretax Income,-205.37,224.27,805.56,-38.71,-32.13
Income Tax,-41.91,58,198.55,-9.5,-7.94
Net Income,-163.45,166.27,607,-29.21,-24.2
Net Income Growth,-,-72.61%,-,-,-
Shares Outstanding (Basic),138,140,139,139,-
Shares Change,-0.81%,0.48%,-,-,-
EPS (Basic),-1.18,1.19,4.45,-0.21,-242.00
EPS (Diluted),-1.18,1.19,4.42,-0.21,-242.00
EPS Growth,-,-73.08%,-,-,-
Free Cash Flow Per Share,26.40,-16.96,-9.72,-8.73,-
Dividend Per Share,0.080,0.190,-,-,-
Dividend Growth,-57.89%,-,-,-,-
Gross Margin,-22.87%,39.11%,65.98%,3.49%,11.76%
Operating Margin,-70.05%,21.73%,57.26%,-20.73%,-25.60%
Profit Margin,-63.94%,17.29%,44.07%,-14.63%,-14.73%
Free Cash Flow Margin,1429.29%,-246.12%,-97.99%,-607.03%,158.34%
Effective Tax Rate,-,25.86%,24.65%,-,-
EBITDA,-194.67,234.4,811.47,-32.79,-24.46
EBITDA Margin,-76.15%,24.38%,58.92%,-16.42%,-14.89%
Depreciation & Amortization,10.7,10.13,5.92,5.92,7.67
EBIT,-205.37,224.27,805.56,-38.71,-32.13
EBIT Margin,-80.33%,23.32%,58.49%,-19.38%,-19.56%
