Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2002
Revenue,49.63,42.06,34.71,25.64,23.93,20.29,20.69,20.28,18.91,18.23,Upgrade
Revenue Growth (YoY),18.00%,21.18%,35.38%,7.13%,17.96%,-1.97%,2.03%,7.24%,3.72%,-0.82%,Upgrade
Gross Profit,49.63,42.06,34.71,25.64,23.93,20.29,20.69,20.28,18.91,18.23,Upgrade
Selling & Marketing,1.48,0.96,0.76,0.65,0.81,0.83,0.88,0.66,0.68,0.62,Upgrade
General & Administrative,16.25,15.81,13.59,12.16,11.57,10.05,8.73,7.46,7.31,7.36,Upgrade
Operating Income,30.4,25.25,21.1,15.9,11.99,8.06,9.68,11.2,10.35,8.63,Upgrade
Interest Income,48.66,41.73,36.2,29.78,25.31,20.48,19.55,18.25,17.75,17.74,Upgrade
Interest Expense,6.53,4.37,6.16,7.03,3.95,2.14,1.23,0.94,1.02,1.28,Upgrade
Other Expense / Income,48.66,41.73,36.2,29.78,25.31,20.48,19.55,18.25,17.75,17.74,Upgrade
Pretax Income,23.87,20.88,14.94,8.88,8.04,5.92,8.45,10.26,9.33,7.35,Upgrade
Income Tax,6.9,6.18,4.42,2.4,2.22,2.63,3.48,4.23,3.85,3.03,Upgrade
Net Income,16.97,14.7,10.52,6.48,5.83,3.29,4.97,6.03,5.49,4.32,Upgrade
Net Income Growth,15.44%,39.75%,62.37%,11.15%,77.00%,-33.72%,-17.63%,9.94%,26.94%,25.32%,Upgrade
Shares Outstanding (Basic),-,7,7,7,7,7,7,7,7,7,Upgrade
Shares Outstanding (Diluted),-,7,7,7,7,7,7,7,7,7,Upgrade
Shares Change,-,0.03%,-0.01%,0.03%,0.21%,0.38%,-0.19%,0.14%,0.77%,1.01%,Upgrade
EPS (Basic),-,2.20,1.58,0.97,0.87,0.50,0.75,0.90,0.81,0.62,Upgrade
EPS (Diluted),-,2.20,1.57,0.97,0.87,0.49,0.75,0.89,0.81,0.62,Upgrade
EPS Growth,-,40.13%,61.86%,11.49%,77.55%,-34.67%,-15.73%,9.88%,30.65%,37.78%,Upgrade
Free Cash Flow Per Share,-,7.77,0.54,0.47,0.43,0.61,0.76,0.67,0.63,0.83,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,61.25%,60.03%,60.80%,62.02%,50.12%,39.74%,46.79%,55.20%,54.71%,47.31%,Upgrade
Profit Margin,34.19%,34.95%,30.30%,25.26%,24.35%,16.23%,24.00%,29.73%,29.00%,23.70%,Upgrade
Free Cash Flow Margin,27.29%,123.48%,10.35%,12.25%,12.02%,19.90%,24.15%,21.86%,21.90%,29.70%,Upgrade
Effective Tax Rate,28.91%,29.61%,29.60%,27.02%,27.56%,44.41%,41.21%,41.22%,41.21%,41.22%,Upgrade
EBITDA,30.79,25.66,21.54,16.4,12.34,8.4,10,11.59,10.77,9.24,Upgrade
EBITDA Margin,62.04%,61.00%,62.04%,63.96%,51.56%,41.42%,48.30%,57.12%,56.95%,50.69%,Upgrade
Depreciation & Amortization,0.39,0.41,0.43,0.5,0.35,0.34,0.31,0.39,0.43,0.62,Upgrade
EBIT,30.4,25.25,21.1,15.9,11.99,8.06,9.68,11.2,10.35,8.63,Upgrade
EBIT Margin,61.25%,60.03%,60.80%,62.02%,50.12%,39.74%,46.79%,55.20%,54.71%,47.31%,Upgrade
