Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Revenue,48.97,57.56,47.38,51.02,43.49,34.99,34.47,34.79,22.7,18.77,Upgrade
Revenue Growth (YoY),-14.92%,21.49%,-7.14%,17.30%,24.30%,1.51%,-0.93%,53.28%,20.91%,1.27%,Upgrade
Gross Profit,48.97,57.56,47.38,51.02,43.49,34.99,34.47,34.79,22.7,18.77,Upgrade
"Selling, General & Admin",27.8,31.85,28.85,27.36,25.98,19.68,18.7,17.88,12.1,10.5,Upgrade
Other Operating Expenses,7.09,11.01,27.92,7.6,8.92,5.5,5.08,5.05,4.7,2.86,Upgrade
Operating Expenses,34.89,42.86,56.77,34.96,34.9,25.17,23.78,22.93,16.8,13.36,Upgrade
Operating Income,14.08,14.7,-9.39,16.06,8.59,9.82,10.69,11.86,5.9,5.42,Upgrade
Pretax Income,14.08,14.7,-9.39,16.06,8.59,9.82,10.69,11.86,5.9,5.42,Upgrade
Income Tax,2.83,3.13,1.25,1.73,1.54,2.87,3.11,3.44,1.61,1.16,Upgrade
Net Income,11.25,11.57,-10.64,14.33,7.05,6.94,7.58,8.42,4.29,4.26,Upgrade
Net Income Growth,-2.79%,-,-,103.16%,1.56%,-8.39%,-9.98%,96.18%,0.85%,0.92%,Upgrade
Shares Outstanding (Basic),5,5,5,5,5,4,4,4,3,2,Upgrade
Shares Outstanding (Diluted),5,5,5,5,5,4,4,4,3,2,Upgrade
Shares Change,-4.51%,-0.25%,-0.78%,8.30%,22.40%,0.59%,0.35%,54.52%,6.34%,0.06%,Upgrade
EPS (Basic),2.19,2.15,-1.97,2.64,1.42,1.70,1.86,2.07,1.63,1.73,Upgrade
EPS (Diluted),2.18,2.15,-1.97,2.63,1.40,1.69,1.86,2.07,1.63,1.72,Upgrade
EPS Growth,1.40%,-,-,87.86%,-17.16%,-9.14%,-10.14%,26.99%,-5.23%,1.18%,Upgrade
Free Cash Flow Per Share,2.75,2.14,2.55,3.28,1.85,1.90,1.97,12.52,-3.38,3.17,Upgrade
Dividend Per Share,0.960,0.960,0.960,0.960,0.890,0.880,0.880,0.850,0.210,0.840,Upgrade
Dividend Growth,0%,0%,0%,7.87%,1.14%,0%,3.53%,304.76%,-75.00%,0%,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,28.75%,25.53%,-19.82%,31.47%,19.75%,28.06%,31.02%,34.10%,26.00%,28.85%,Upgrade
Profit Margin,22.97%,20.10%,-22.46%,28.08%,16.21%,19.85%,21.99%,24.20%,18.91%,22.67%,Upgrade
Free Cash Flow Margin,28.84%,20.01%,29.09%,34.93%,21.23%,22.17%,23.30%,146.47%,-39.17%,41.62%,Upgrade
Effective Tax Rate,20.12%,21.27%,-,10.77%,17.90%,29.27%,29.11%,29.02%,27.27%,21.42%,Upgrade
EBITDA,16.78,17.13,-6.05,19.78,11.64,12.32,13.78,14.44,6.66,6.05,Upgrade
EBITDA Margin,34.27%,29.76%,-12.77%,38.78%,26.75%,35.20%,39.99%,41.49%,29.36%,32.20%,Upgrade
Depreciation & Amortization,2.7,2.44,3.34,3.73,3.05,2.5,3.09,2.57,0.76,0.63,Upgrade
EBIT,14.08,14.7,-9.39,16.06,8.59,9.82,10.69,11.86,5.9,5.42,Upgrade
EBIT Margin,28.75%,25.53%,-19.82%,31.47%,19.75%,28.06%,31.02%,34.10%,26.00%,28.85%,Upgrade
