Year,2022,2021,2020,2019
Revenue,0.16,2.26,3.6,3.97
Revenue Growth (YoY),-92.87%,-37.07%,-9.33%,-
Gross Profit,0.16,2.26,3.6,3.97
"Selling, General & Admin",2.73,3.04,1.41,1.53
Operating Expenses,2.73,3.04,1.41,1.53
Operating Income,-2.57,-0.78,2.18,2.44
Other Expense / Income,-0.01,0.06,0,-0.01
Pretax Income,-2.56,-0.84,2.18,2.45
Income Tax,0,0.26,0.59,0.61
Net Income,-2.56,-1.09,1.59,1.83
Net Income Growth,-,-,-13.46%,-
Shares Outstanding (Basic),2,2,2,2
Shares Outstanding (Diluted),2,2,2,2
Shares Change,0.08%,18.74%,-,-
EPS (Basic),-1.08,-0.46,0.79,0.90
EPS (Diluted),-1.08,-0.46,0.79,0.90
EPS Growth,-,-,-12.22%,-
Free Cash Flow Per Share,-2.82,-0.17,0.23,-0.68
Gross Margin,100.00%,100.00%,100.00%,100.00%
Operating Margin,-1593.22%,-34.43%,60.64%,61.46%
Profit Margin,-1587.58%,-48.32%,44.15%,46.26%
Free Cash Flow Margin,-4150.01%,-17.80%,12.94%,-34.41%
Effective Tax Rate,-,-,27.19%,25.00%
EBITDA,-2.5,-0.77,2.23,2.5
EBITDA Margin,-1551.99%,-34.16%,62.12%,63.12%
Depreciation & Amortization,0.06,0.06,0.05,0.06
EBIT,-2.56,-0.84,2.18,2.45
EBIT Margin,-1587.58%,-36.95%,60.63%,61.68%
