Year,2022,2021,2020
"Selling, General & Admin",1.9,1.41,0.05
Other Operating Expenses,0.18,0.2,0.07
Operating Expenses,2.07,1.61,0.12
Operating Income,-2.07,-1.61,-0.12
Other Expense / Income,-19.67,-7.17,6.86
Pretax Income,17.6,5.55,-6.97
Income Tax,0.99,0,0
Net Income,16.61,5.55,-6.97
Net Income Growth,199.08%,-,-
Shares Outstanding (Basic),50,52,16
Shares Outstanding (Diluted),50,52,16
Shares Change,-3.62%,219.53%,-
EPS (Basic),0.33,0.11,-0.43
EPS (Diluted),0.33,0.11,-0.43
EPS Growth,200.00%,-,-
Free Cash Flow Per Share,-0.04,-0.01,-0.04
Effective Tax Rate,5.62%,-,-
EBITDA,17.6,5.55,-6.97
EBIT,17.6,5.55,-6.97
