Year,2022,2021,2020,2019,2018
Revenue,248.74,202.98,195.83,192,178.32
Revenue Growth (YoY),22.54%,3.65%,1.99%,7.67%,-
Gross Profit,248.74,202.98,195.83,192,178.32
"Selling, General & Admin",96.19,89.12,84.27,84.06,82.4
Other Operating Expenses,44.39,43.14,49.62,43.76,45.61
Operating Expenses,140.57,132.26,133.89,127.83,128
Operating Income,108.16,70.73,61.94,64.17,50.32
Pretax Income,108.16,70.73,61.94,64.17,50.32
Income Tax,26.69,17.79,15.76,16.97,5.67
Net Income,81.48,52.94,46.19,47.2,44.65
Net Income Growth,53.91%,14.61%,-2.15%,5.71%,-
Shares Outstanding (Basic),31,31,31,31,-
Shares Change,-1.37%,0.15%,-,-,-
EPS (Basic),2.64,1.70,1.48,1.49,1.47
EPS (Diluted),2.61,1.68,1.48,1.47,1.46
EPS Growth,55.36%,13.51%,0.68%,0.68%,-
Free Cash Flow Per Share,4.75,2.19,2.07,2.66,-
Dividend Per Share,0.360,0.320,0.320,0.260,0.060
Dividend Growth,12.50%,0%,23.08%,333.33%,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,43.49%,34.84%,31.63%,33.42%,28.22%
Profit Margin,32.76%,26.08%,23.59%,24.58%,25.04%
Free Cash Flow Margin,58.56%,33.57%,32.76%,43.08%,16.59%
Effective Tax Rate,24.67%,25.15%,25.43%,26.45%,11.26%
EBITDA,112.76,75.57,69.51,70.18,55.49
EBITDA Margin,45.33%,37.23%,35.49%,36.55%,31.11%
Depreciation & Amortization,4.59,4.85,7.56,6,5.17
EBIT,108.16,70.73,61.94,64.17,50.32
EBIT Margin,43.49%,34.84%,31.63%,33.42%,28.22%
