Year,2022,2021,2020,2019,2018,2017,2016,2015
Revenue,245.64,176.88,132.44,104.02,80.25,56.32,35.43,29.91
Revenue Growth (YoY),38.87%,33.56%,27.32%,29.62%,42.47%,58.97%,18.47%,-
Gross Profit,245.64,176.88,132.44,104.02,80.25,56.32,35.43,29.91
"Selling, General & Admin",57.29,45.91,39.8,31.24,25.66,19.17,17.62,13.76
Other Operating Expenses,91.45,41.4,34.72,28.71,17.81,13.58,9.75,9.32
Operating Expenses,148.74,87.31,74.52,59.96,43.47,32.75,27.37,23.08
Operating Income,96.9,89.57,57.92,44.06,36.78,23.58,8.06,6.83
Pretax Income,96.9,89.57,57.92,44.06,36.78,23.58,8.06,6.83
Income Tax,37.47,29.02,18.45,13.93,11.22,11.21,3.05,2.56
Net Income,59.43,60.56,39.47,30.13,25.55,12.37,5.01,4.27
Net Income Growth,-1.87%,53.44%,30.97%,17.92%,106.60%,146.74%,17.43%,-
Shares Outstanding (Basic),11,11,8,8,8,8,8,-
Shares Change,2.70%,28.38%,-0.34%,1.37%,0.09%,6.04%,-,-
EPS (Basic),5.42,6.64,4.76,3.63,3.12,2.40,0.43,1.54
EPS (Diluted),5.29,6.45,4.66,3.56,3.06,2.34,0.43,1.54
EPS Growth,-17.98%,38.41%,30.90%,16.34%,30.77%,444.19%,-72.08%,-
Free Cash Flow Per Share,6.10,3.13,10.05,3.86,3.06,3.57,1.73,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,39.45%,50.64%,43.73%,42.36%,45.83%,41.86%,22.74%,22.83%
Profit Margin,24.19%,34.23%,29.80%,28.97%,31.84%,21.96%,14.15%,14.28%
Free Cash Flow Margin,27.13%,18.82%,62.94%,30.88%,31.27%,51.95%,37.76%,12.41%
Effective Tax Rate,38.67%,32.39%,31.86%,31.61%,30.51%,47.54%,37.79%,37.48%
EBITDA,101.24,94.63,62.52,45.67,38.13,24.56,8.84,7.52
EBITDA Margin,41.21%,53.50%,47.21%,43.91%,47.52%,43.60%,24.96%,25.16%
Depreciation & Amortization,4.34,5.06,4.6,1.61,1.36,0.98,0.79,0.7
EBIT,96.9,89.57,57.92,44.06,36.78,23.58,8.06,6.83
EBIT Margin,39.45%,50.64%,43.73%,42.36%,45.83%,41.86%,22.74%,22.83%
