Year,2022,2021,2020,2019,2018,2017,2016,2015
Revenue,25.18,27.37,26.44,11.81,10.44,9.58,9.91,9.1
Revenue Growth (YoY),-7.98%,3.49%,123.93%,13.07%,8.96%,-3.24%,8.82%,-
Gross Profit,25.18,27.37,26.44,11.81,10.44,9.58,9.91,9.1
"Selling, General & Admin",16.34,16.51,13.85,7.84,6.34,6.04,5.65,4.86
Other Operating Expenses,6.04,5.34,4.62,2.9,3.09,2.79,2.71,3.48
Operating Expenses,22.38,21.85,18.47,10.74,9.43,8.82,8.35,8.34
Operating Income,2.81,5.52,7.97,1.07,1.01,0.76,1.55,0.76
Pretax Income,2.81,5.52,7.97,1.07,1.01,0.76,1.55,0.76
Income Tax,0.58,1.46,2.2,0.19,0.24,0.2,0.53,0.14
Net Income,2.23,4.05,5.77,0.88,0.77,0.57,1.03,0.63
Net Income Growth,-44.97%,-29.75%,556.20%,14.16%,35.33%,-44.54%,63.38%,-
Shares Outstanding (Basic),2,2,2,2,2,2,2,-
Shares Change,2.91%,-2.08%,-1.65%,3.53%,-,-,-,-
EPS (Basic),1.12,2.04,2.84,0.43,0.38,0.56,-,-
EPS (Diluted),1.06,1.98,2.84,0.43,0.38,0.56,-,-
EPS Growth,-46.46%,-30.28%,560.47%,13.16%,-32.14%,-,-,-
Free Cash Flow Per Share,13.57,19.24,-17.20,-8.47,0.18,5.67,-2.93,-
Dividend Per Share,-,-,-,-,0.500,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,11.14%,20.16%,30.15%,9.09%,9.71%,7.97%,15.66%,8.38%
Profit Margin,8.86%,14.81%,21.81%,7.44%,7.37%,5.94%,10.36%,6.90%
Free Cash Flow Margin,120.62%,152.97%,-144.55%,-162.03%,3.67%,129.00%,-64.51%,19.71%
Effective Tax Rate,20.50%,26.54%,27.65%,18.08%,24.06%,25.52%,33.85%,17.69%
EBITDA,4.31,7.08,9.19,1.45,1.25,0.96,1.74,0.99
EBITDA Margin,17.10%,25.88%,34.74%,12.29%,11.99%,10.04%,17.58%,10.85%
Depreciation & Amortization,1.5,1.57,1.21,0.38,0.24,0.2,0.19,0.23
EBIT,2.81,5.52,7.97,1.07,1.01,0.76,1.55,0.76
EBIT Margin,11.14%,20.16%,30.15%,9.09%,9.71%,7.97%,15.66%,8.38%
