Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2001
Revenue,81.07,68.45,55.53,62.32,81.36,70.38,58.98,59.95,41.94,44.29,Upgrade
Revenue Growth (YoY),18.44%,23.27%,-10.89%,-23.40%,15.59%,19.33%,-1.63%,42.95%,-5.30%,76.30%,Upgrade
Cost of Revenue,4.74,3.99,4.35,4.47,5.3,8.23,9.22,10.05,7.8,7.62,Upgrade
Gross Profit,76.34,64.46,51.18,57.84,76.06,62.15,49.76,49.9,34.14,36.66,Upgrade
"Selling, General & Admin",17.45,14.82,13.03,15.56,13.08,12.77,10.84,8.66,5.55,4.24,Upgrade
Other Operating Expenses,2.72,5.05,11.07,3.17,3.71,5.21,6.92,6.51,4.97,10.79,Upgrade
Operating Expenses,20.17,19.87,24.09,18.73,16.79,17.98,17.76,15.17,10.52,15.03,Upgrade
Operating Income,56.17,44.59,27.09,39.11,59.27,44.17,31.99,34.73,23.62,21.64,Upgrade
Interest Expense / Income,30.46,21.94,21.22,24.72,24.86,22.16,15.47,14.83,11.17,6.99,Upgrade
Other Expense / Income,-39.81,-15.52,-1.42,-16.14,-5.81,-14.6,-12.22,-6.7,-2.58,-3.07,Upgrade
Pretax Income,65.51,38.16,7.29,30.54,40.22,36.61,28.74,26.61,15.03,17.71,Upgrade
Income Tax,-0.05,0.06,0.08,0.05,-0.92,6.02,4.96,0,0,0,Upgrade
Net Income,65.56,38.1,7.21,30.49,41.14,30.59,23.78,26.61,15.03,17.71,Upgrade
Preferred Dividends,3.47,2.83,-0.03,4.97,5.16,4.12,3.58,2.47,1.06,1.42,Upgrade
Net Income Common,65.56,38.1,7.21,30.49,41.14,26.47,20.21,24.13,13.98,16.3,Upgrade
Net Income Growth,72.08%,428.51%,-76.36%,-25.88%,55.43%,30.97%,-16.27%,72.67%,-14.24%,333.99%,Upgrade
Shares Outstanding (Basic),22,21,21,21,20,20,20,21,20,15,Upgrade
Shares Outstanding (Diluted),22,21,21,21,20,20,20,21,20,15,Upgrade
Shares Change,6.61%,2.25%,0.09%,0.87%,0.22%,-0.48%,-0.12%,1.38%,36.77%,16.29%,Upgrade
EPS (Basic),2.62,1.53,0.21,1.23,1.76,1.29,1.00,1.00,0.73,1.18,Upgrade
EPS (Diluted),2.62,1.53,0.21,1.23,1.76,1.29,1.00,1.00,0.73,1.18,Upgrade
EPS Growth,71.24%,642.72%,-83.31%,-30.01%,36.35%,29.43%,0%,35.92%,-37.45%,185.89%,Upgrade
Free Cash Flow Per Share,0.86,1.61,0.75,0.87,1.75,3.23,2.46,1.43,-0.31,0.08,Upgrade
Dividend Per Share,1.718,1.469,0.896,1.469,1.469,1.469,1.469,1.469,1.469,1.469,Upgrade
Dividend Growth,16.95%,63.95%,-39.01%,0%,0%,0%,0%,0%,0%,0%,Upgrade
Gross Margin,94.16%,94.17%,92.17%,92.82%,93.49%,88.31%,84.36%,83.23%,81.41%,82.79%,Upgrade
Operating Margin,69.28%,65.14%,48.78%,62.76%,72.85%,62.76%,54.25%,57.94%,56.33%,48.86%,Upgrade
Profit Margin,80.87%,55.66%,12.98%,48.93%,50.57%,37.61%,34.26%,40.26%,33.33%,36.80%,Upgrade
Free Cash Flow Margin,23.83%,49.51%,27.78%,28.67%,44.03%,93.55%,85.59%,49.06%,-15.15%,2.77%,Upgrade
Effective Tax Rate,-0.08%,0.17%,1.10%,0.15%,-2.29%,16.44%,17.25%,-,-,-,Upgrade
EBITDA,98.69,62.84,31.31,58.35,68.64,63.98,51.08,47.94,32.04,31.45,Upgrade
EBITDA Margin,121.73%,91.80%,56.39%,93.63%,84.37%,90.90%,86.60%,79.96%,76.39%,71.01%,Upgrade
Depreciation & Amortization,2.72,2.73,2.81,3.09,3.56,5.21,6.86,6.51,5.84,6.74,Upgrade
EBIT,95.98,60.11,28.5,55.26,65.08,58.77,44.21,41.44,26.2,24.71,Upgrade
EBIT Margin,118.38%,87.81%,51.33%,88.67%,80.00%,83.50%,74.96%,69.11%,62.47%,55.79%,Upgrade
