Year,2022,2021,2020,2019,2018,2017
Revenue,1.35,2.79,3.25,2,3.09,1.53
Revenue Growth (YoY),-51.56%,-14.12%,62.29%,-35.16%,101.65%,-
Gross Profit,1.35,2.79,3.25,2,3.09,1.53
"Selling, General & Admin",6.3,5.04,2.69,1.9,1.63,0.12
Other Operating Expenses,0.12,0,0,0,0,0.3
Operating Expenses,6.42,5.04,2.69,1.9,1.63,0.42
Operating Income,-5.07,-2.25,0.56,0.1,1.46,1.12
Interest Expense / Income,0,0,0,0.02,0.02,0
Other Expense / Income,-0.41,-0.33,-0.2,-0.33,-0.05,-0.02
Pretax Income,-4.66,-1.92,0.76,0.41,1.49,1.13
Income Tax,0.02,0.02,0.13,0.24,0.37,0.17
Net Income,-4.68,-1.94,0.63,0.18,1.12,0.96
Net Income Growth,-,-,260.72%,-84.32%,16.41%,-
Shares Outstanding (Basic),3,2,1,1,1,1
Shares Outstanding (Diluted),3,2,1,1,1,1
Shares Change,50.59%,72.21%,-,-,-,-
EPS (Basic),-1.81,-1.13,0.63,0.20,1.10,0.95
EPS (Diluted),-1.81,-1.13,0.63,0.20,1.10,0.95
EPS Growth,-,-,215.00%,-81.82%,15.79%,-
Free Cash Flow Per Share,-0.08,-0.79,-0.05,0.03,1.36,0.46
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,-374.94%,-80.76%,17.24%,5.13%,47.26%,72.87%
Profit Margin,-346.48%,-69.68%,19.51%,8.78%,36.32%,62.91%
Free Cash Flow Margin,-14.88%,-49.00%,-1.59%,1.69%,44.21%,29.88%
Effective Tax Rate,-,-,16.58%,57.54%,24.57%,14.87%
EBITDA,-4.45,-1.66,0.99,0.47,1.54,1.14
EBITDA Margin,-329.33%,-59.66%,30.40%,23.35%,49.87%,74.61%
Depreciation & Amortization,0.21,0.26,0.23,0.03,0.03,0.01
EBIT,-4.66,-1.92,0.76,0.43,1.51,1.13
EBIT Margin,-344.74%,-68.80%,23.39%,21.62%,48.89%,73.90%
