Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Revenue,572.59,500.13,434.06,431.1,285.64,254.81,173.47,115.93,96.85,91.53,Upgrade
Revenue Growth (YoY),14.49%,15.22%,0.69%,50.92%,12.10%,46.89%,49.63%,19.70%,5.82%,-10.50%,Upgrade
Gross Profit,572.59,500.13,434.06,431.1,285.64,254.81,173.47,115.93,96.85,91.53,Upgrade
"Selling, General & Admin",331.32,286.91,262.87,268.98,199.62,161.93,121.17,95.15,78.15,73.81,Upgrade
Other Operating Expenses,53.96,56.78,56.18,64.18,28.61,37.74,13.48,1.35,0.08,0.59,Upgrade
Operating Expenses,385.28,343.68,319.05,333.16,228.23,199.66,134.65,96.51,78.23,74.4,Upgrade
Operating Income,187.32,156.45,115.01,97.94,57.41,55.15,38.82,19.42,18.62,17.12,Upgrade
Other Expense / Income,2.97,4.04,4.62,4.31,0.67,-,-,-,-,-,Upgrade
Pretax Income,184.35,152.41,110.38,93.63,56.74,55.15,38.82,19.42,18.62,17.12,Upgrade
Income Tax,27.96,10.7,5.66,-3.37,5.12,10.23,5.6,1.37,2.91,3.7,Upgrade
Net Income,156.39,141.71,104.72,97,51.62,44.92,33.22,18.06,15.71,13.42,Upgrade
Net Income Growth,10.36%,35.32%,7.95%,87.92%,14.92%,35.21%,83.99%,14.90%,17.10%,-21.60%,Upgrade
Shares Outstanding (Basic),29,32,35,38,39,28,26,21,19,18,Upgrade
Shares Change,-8.98%,-7.82%,-8.59%,-3.32%,39.68%,9.69%,22.68%,12.36%,3.64%,55.12%,Upgrade
EPS (Basic),5.26,4.38,2.94,2.49,1.68,1.62,1.31,0.89,0.86,0.80,Upgrade
EPS (Diluted),5.26,4.38,2.94,2.49,1.67,1.61,1.30,0.89,0.84,0.79,Upgrade
EPS Growth,20.09%,48.98%,18.07%,49.10%,3.73%,23.85%,46.56%,5.22%,6.31%,-51.65%,Upgrade
Free Cash Flow Per Share,-5.53,16.75,12.09,0.86,3.25,4.04,2.80,2.22,1.33,-1.58,Upgrade
Dividend Per Share,0.200,0.200,0.200,0.200,0.180,0.173,0.173,0.173,0.173,0.173,Upgrade
Dividend Growth,0%,0%,0%,11.11%,4.05%,0%,0%,0%,0%,0%,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,32.71%,31.28%,26.50%,22.72%,20.10%,21.64%,22.38%,16.75%,19.22%,18.71%,Upgrade
Profit Margin,27.31%,28.33%,24.13%,22.50%,18.07%,17.63%,19.15%,15.57%,16.22%,14.66%,Upgrade
Free Cash Flow Margin,-28.06%,106.88%,96.47%,7.56%,44.59%,44.42%,41.23%,39.92%,25.46%,-30.95%,Upgrade
Effective Tax Rate,15.17%,7.02%,5.13%,-3.60%,9.02%,18.55%,14.43%,7.04%,15.61%,21.63%,Upgrade
EBITDA,245.95,211.46,171.13,148.78,94.46,100.2,74.44,48.31,36.77,38.23,Upgrade
EBITDA Margin,42.95%,42.28%,39.42%,34.51%,33.07%,39.32%,42.91%,41.67%,37.96%,41.77%,Upgrade
Depreciation & Amortization,61.6,59.05,60.75,55.15,37.72,45.05,35.62,28.88,18.15,21.1,Upgrade
EBIT,184.35,152.41,110.38,93.63,56.74,55.15,38.82,19.42,18.62,17.12,Upgrade
EBIT Margin,32.20%,30.47%,25.43%,21.72%,19.86%,21.64%,22.38%,16.75%,19.22%,18.71%,Upgrade
