Year,2022,2021,2020,2019,2018,2017,2016,2015,2014
Revenue,791.68,754.48,611.4,752.14,723.13,715.91,709.11,670.54,641.94
Revenue Growth (YoY),4.93%,23.40%,-18.71%,4.01%,1.01%,0.96%,5.75%,4.46%,-
Gross Profit,791.68,754.48,611.4,752.14,723.13,715.91,709.11,670.54,641.94
"Selling, General & Admin",308.19,281.19,269.28,265.08,249.08,237.77,230.22,236.77,222.7
Other Operating Expenses,132.29,124.29,98.39,105.36,115.87,109.78,107.06,90.54,75
Operating Expenses,440.47,405.48,367.67,370.44,364.95,347.55,337.28,327.31,297.69
Operating Income,351.21,349,243.72,381.7,358.18,368.36,371.83,343.23,344.24
Pretax Income,351.21,349,243.72,381.7,358.18,368.36,371.83,343.23,344.24
Income Tax,85.53,83.26,57.97,97.31,93.78,184.67,141.65,129.45,127.57
Net Income,265.69,265.74,185.75,284.39,264.39,183.68,230.18,213.78,216.67
Net Income Growth,-0.02%,43.06%,-34.68%,7.56%,43.94%,-20.20%,7.67%,-1.33%,-
Shares Outstanding (Basic),127,129,130,133,137,140,139,139,139
Shares Outstanding (Diluted),128,130,130,133,137,140,139,139,139
Shares Change,-1.20%,-0.52%,-2.37%,-2.72%,-1.82%,0.12%,0.02%,-,-
EPS (Basic),2.08,2.06,1.43,2.14,1.93,1.32,1.65,1.53,1.55
EPS (Diluted),2.08,2.05,1.43,2.13,1.93,1.32,1.65,1.53,1.55
EPS Growth,1.46%,43.36%,-32.86%,10.36%,46.21%,-20.00%,7.84%,-1.29%,-
Free Cash Flow Per Share,3.41,3.11,1.36,2.01,2.30,1.92,1.47,0.91,1.62
Dividend Per Share,1.040,1.040,1.040,1.040,0.960,0.880,0.200,-,-
Dividend Growth,0%,0%,0%,8.33%,9.09%,340.00%,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,44.36%,46.26%,39.86%,50.75%,49.53%,51.45%,52.44%,51.19%,53.63%
Profit Margin,33.56%,35.22%,30.38%,37.81%,36.56%,25.66%,32.46%,31.88%,33.75%
Free Cash Flow Margin,54.90%,53.11%,28.81%,35.52%,43.63%,37.41%,28.86%,18.90%,35.21%
Effective Tax Rate,24.35%,23.86%,23.79%,25.49%,26.18%,50.13%,38.10%,37.71%,37.06%
EBITDA,407.96,400.84,306.8,449.52,413.08,430.37,424.01,368.9,370.16
EBITDA Margin,51.53%,53.13%,50.18%,59.77%,57.12%,60.12%,59.79%,55.02%,57.66%
Depreciation & Amortization,56.75,51.84,63.07,67.82,54.9,62.02,52.18,25.68,25.92
EBIT,351.21,349,243.72,381.7,358.18,368.36,371.83,343.23,344.24
EBIT Margin,44.36%,46.26%,39.86%,50.75%,49.53%,51.45%,52.44%,51.19%,53.63%
