Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1996
Revenue,54.06,52.84,43.43,42.41,40.37,38.5,36.66,37.94,25.27,23.93,Upgrade
Revenue Growth (YoY),2.30%,21.67%,2.41%,5.05%,4.85%,5.01%,-3.37%,50.15%,5.61%,-2.81%,Upgrade
Gross Profit,54.06,52.84,43.43,42.41,40.37,38.5,36.66,37.94,25.27,23.93,Upgrade
"Selling, General & Admin",25.16,23.44,20.95,23.27,23.75,21.58,20.98,19.84,15.89,14.58,Upgrade
Other Operating Expenses,9.49,8.67,8.09,5.64,6.08,7.75,6.4,6.08,6.24,4.36,Upgrade
Operating Expenses,34.65,32.1,29.04,28.91,29.84,29.33,27.39,25.92,22.14,18.94,Upgrade
Operating Income,19.41,20.74,14.39,13.5,10.53,9.17,9.27,12.02,3.13,4.99,Upgrade
Other Expense / Income,0.28,0.25,0.17,0.16,0.11,0.06,0.05,0.23,0.19,0.16,Upgrade
Pretax Income,19.14,20.49,14.23,13.34,10.42,9.12,9.22,11.79,2.94,4.83,Upgrade
Income Tax,3.54,4.27,2.45,2.36,1.71,2.91,2.59,3.56,0.61,0.91,Upgrade
Net Income,15.6,16.23,11.78,10.98,8.71,6.2,6.63,8.23,2.33,3.92,Upgrade
Net Income Growth,-3.86%,37.79%,7.28%,25.97%,40.51%,-6.51%,-19.38%,253.39%,-40.64%,1.58%,Upgrade
Shares Outstanding (Basic),6,6,6,6,6,6,5,5,4,3,Upgrade
Shares Outstanding (Diluted),-,-,-,6,6,6,5,5,4,-,Upgrade
Shares Change,1.06%,0.65%,1.76%,0.50%,0.22%,0.91%,0.95%,54.28%,3.21%,1.21%,Upgrade
EPS (Basic),2.75,2.88,2.11,1.98,1.57,1.13,1.22,1.52,0.66,1.15,Upgrade
EPS (Diluted),2.74,2.86,2.10,1.97,1.56,1.12,1.21,1.51,0.66,1.15,Upgrade
EPS Growth,-4.20%,36.19%,6.87%,25.56%,39.73%,-7.05%,-20.20%,128.79%,-42.61%,0.88%,Upgrade
Free Cash Flow Per Share,4.60,2.79,1.66,2.21,2.15,1.50,1.83,1.35,0.64,2.67,Upgrade
Dividend Per Share,0.800,0.605,0.580,0.560,0.560,0.560,0.560,0.560,0.560,0.560,Upgrade
Dividend Growth,32.23%,4.31%,3.57%,0%,0%,0%,0%,0%,0%,0%,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,35.91%,39.25%,33.14%,31.82%,26.09%,23.82%,25.30%,31.68%,12.39%,20.86%,Upgrade
Profit Margin,28.85%,30.70%,27.11%,25.88%,21.58%,16.11%,18.09%,21.68%,9.21%,16.39%,Upgrade
Free Cash Flow Margin,49.20%,30.24%,21.73%,28.95%,29.44%,21.44%,27.24%,19.27%,8.94%,38.18%,Upgrade
Effective Tax Rate,18.49%,20.82%,17.24%,17.69%,16.40%,31.97%,28.07%,30.22%,20.76%,18.82%,Upgrade
EBITDA,20.75,22.01,15.65,14.93,12.09,10.56,10.4,13.02,3.97,5.69,Upgrade
EBITDA Margin,38.38%,41.65%,36.04%,35.20%,29.95%,27.42%,28.38%,34.33%,15.71%,23.77%,Upgrade
Depreciation & Amortization,1.61,1.52,1.43,1.59,1.67,1.44,1.18,1.23,1.03,0.86,Upgrade
EBIT,19.14,20.49,14.23,13.34,10.42,9.12,9.22,11.79,2.94,4.83,Upgrade
EBIT Margin,35.40%,38.78%,32.76%,31.45%,25.82%,23.68%,25.15%,31.07%,11.63%,20.19%,Upgrade
