Year,2022,2021,2020,2019,2018
Revenue,-10.38,22.97,-1.64,-6.47,0.35
Cost of Revenue,0,0,0,0,0.16
Gross Profit,-10.38,22.97,-1.64,-6.47,0.19
General & Administrative,3,2.66,2.04,1.6,0.01
Other Operating Expenses,0.21,0,0,-0.22,-0.04
Operating Expenses,3.21,2.66,2.04,1.38,-0.03
Operating Income,-9.54,23.03,-2.04,-6.88,0.22
Interest Income,26.22,15.55,11.07,8.86,-
Interest Expense,4.05,2.72,1.63,0.98,0.07
Other Expense / Income,26.22,15.55,11.07,8.86,-0.14
Pretax Income,-13.59,20.31,-3.68,-7.86,0.29
Net Income,-13.59,20.31,-3.68,-7.86,0.29
Shares Outstanding (Basic),8,8,3,3,3
Shares Outstanding (Diluted),8,8,3,3,3
Shares Change,-,138.40%,24.49%,3.83%,-
EPS (Basic),-1.76,3.81,-1.14,-3.02,0.11
EPS (Diluted),-1.76,3.81,-1.14,-3.02,0.11
Free Cash Flow Per Share,-1.89,-8.51,1.07,-11.12,-16.38
Gross Margin,-,100.00%,-,-,53.03%
Operating Margin,-,100.25%,-,-,61.86%
Profit Margin,-,88.41%,-,-,81.67%
Free Cash Flow Margin,-,-286.10%,-,-,-11699.03%
EBITDA,-9.54,23.03,-2.04,-6.88,0.36
EBITDA Margin,-,100.25%,-,-,101.47%
