Year,2022,2021,2020,2019,2018,2017,2016,2015,2014
Revenue,549.3,499.68,494.19,532.63,517.81,454.68,402.57,364.26,380.96
Revenue Growth (YoY),9.93%,1.11%,-7.22%,2.86%,13.89%,12.94%,10.52%,-4.38%,-
Gross Profit,549.3,499.68,494.19,532.63,517.81,454.68,402.57,364.26,380.96
"Selling, General & Admin",248.93,251.12,264.52,282.29,252.21,232.06,221.05,223.54,214.7
Other Operating Expenses,82.67,82.77,80.07,74.63,69.14,68.28,64.85,61.7,58.26
Operating Expenses,331.6,333.89,344.59,356.92,321.34,300.34,285.9,285.25,272.97
Operating Income,217.7,165.79,149.6,175.7,196.47,154.34,116.67,79.02,107.99
Pretax Income,217.7,165.79,149.6,175.7,196.47,154.34,116.67,79.02,107.99
Income Tax,3.68,3.12,2.38,-1.37,1.28,1.09,0.73,1.28,-0.17
Net Income,214.02,162.67,147.22,177.08,195.18,153.25,115.94,77.74,108.16
Preferred Dividends,0,0,0,0,0,0,57.57,16.48,16.64
Net Income Common,214.02,162.67,147.22,177.08,195.18,153.25,58.37,61.26,91.52
Net Income Growth,31.57%,10.50%,-16.86%,-9.28%,27.36%,162.53%,-4.70%,-33.07%,-
Shares Outstanding (Basic),50,50,53,55,55,53,53,-,-
Shares Change,0.49%,-5.65%,-4.25%,1.22%,2.64%,0.07%,-,-,-
EPS (Basic),4.32,3.28,2.91,3.33,3.55,2.82,1.20,1.25,1.67
EPS (Diluted),4.29,3.26,2.90,3.30,3.50,2.76,1.18,1.23,1.65
EPS Growth,31.60%,12.41%,-12.12%,-5.71%,26.81%,133.90%,-4.07%,-25.45%,-
Free Cash Flow Per Share,3.83,4.71,3.16,4.08,5.09,4.18,3.17,-,-
Dividend Per Share,1.760,1.760,1.760,1.760,1.520,1.280,0.100,-,-
Dividend Growth,0%,0%,0%,15.79%,18.75%,1180.00%,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,39.63%,33.18%,30.27%,32.99%,37.94%,33.94%,28.98%,21.69%,28.35%
Profit Margin,38.96%,32.55%,29.79%,33.25%,37.69%,33.71%,14.50%,16.82%,24.02%
Free Cash Flow Margin,35.03%,47.16%,33.91%,42.42%,53.72%,49.02%,41.94%,42.29%,36.13%
Effective Tax Rate,1.69%,1.88%,1.59%,-0.78%,0.65%,0.70%,0.62%,1.61%,-0.16%
EBITDA,257.88,235.25,212.03,224.09,242.94,204.74,168.93,129.08,153.11
EBITDA Margin,46.95%,47.08%,42.90%,42.07%,46.92%,45.03%,41.96%,35.44%,40.19%
Depreciation & Amortization,40.18,69.46,62.44,48.39,46.48,50.4,52.26,50.07,45.12
EBIT,217.7,165.79,149.6,175.7,196.47,154.34,116.67,79.02,107.99
EBIT Margin,39.63%,33.18%,30.27%,32.99%,37.94%,33.94%,28.98%,21.69%,28.35%
