Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1998
Revenue,271.01,259.95,178.55,173.25,201.54,209.39,197.61,207.33,171.26,132.96,Upgrade
Revenue Growth (YoY),4.26%,45.59%,3.06%,-14.04%,-3.75%,5.96%,-4.69%,21.07%,28.80%,16.68%,Upgrade
Gross Profit,271.01,259.95,178.55,173.25,201.54,209.39,197.61,207.33,171.26,132.96,Upgrade
"Selling, General & Admin",113.2,109.31,102.26,100.45,99.29,97.51,91.48,94.34,74.6,55.29,Upgrade
Other Operating Expenses,17.09,15.14,16.79,25.45,18.28,16.59,16.74,20.99,24.07,15.15,Upgrade
Operating Expenses,130.28,124.46,119.05,125.91,117.57,114.1,108.22,115.33,98.67,70.44,Upgrade
Operating Income,140.73,135.49,59.5,47.35,83.97,95.28,89.39,92.01,72.58,62.52,Upgrade
Other Expense / Income,-,-,-,-,-,-,-,-,0.44,-0.07,Upgrade
Pretax Income,140.73,135.49,59.5,47.35,83.97,95.28,89.39,92.01,72.14,62.59,Upgrade
Income Tax,39.33,36.82,17.3,14.56,26.1,40.62,32.9,38.18,22.38,22.73,Upgrade
Net Income,101.39,98.68,42.2,32.79,57.87,54.66,56.49,53.82,49.76,39.86,Upgrade
Net Income Growth,2.75%,133.85%,28.69%,-43.34%,5.87%,-3.24%,4.95%,8.16%,24.85%,-55.87%,Upgrade
Shares Outstanding (Basic),30,30,30,31,32,32,32,32,32,32,Upgrade
Shares Outstanding (Diluted),30,30,30,31,32,32,32,32,32,32,Upgrade
Shares Change,-0.26%,0.63%,-1.56%,-4.03%,-0.62%,0.63%,0.54%,-0.32%,0.89%,0.57%,Upgrade
EPS (Basic),3.33,3.22,1.38,1.06,1.80,1.70,1.76,1.69,1.57,1.26,Upgrade
EPS (Diluted),3.32,3.22,1.38,1.06,1.79,1.69,1.75,1.68,1.56,1.26,Upgrade
EPS Growth,3.11%,133.33%,30.19%,-40.78%,5.92%,-3.43%,4.17%,7.69%,23.81%,-56.10%,Upgrade
Free Cash Flow Per Share,4.80,3.00,1.87,2.05,2.29,2.52,1.84,2.06,0.77,1.89,Upgrade
Dividend Per Share,0.940,0.540,0.520,0.960,0.960,0.800,0.660,0.470,0.280,0.140,Upgrade
Dividend Growth,74.07%,3.85%,-45.83%,0%,20.00%,21.21%,40.43%,67.86%,100.00%,-,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,51.93%,52.12%,33.32%,27.33%,41.66%,45.51%,45.23%,44.38%,42.38%,47.02%,Upgrade
Profit Margin,37.41%,37.96%,23.63%,18.92%,28.71%,26.10%,28.59%,25.96%,29.06%,29.98%,Upgrade
Free Cash Flow Margin,53.64%,35.03%,31.73%,36.29%,36.19%,38.60%,29.67%,31.54%,14.20%,44.90%,Upgrade
Effective Tax Rate,27.95%,27.17%,29.08%,30.75%,31.08%,42.63%,36.80%,41.50%,31.02%,36.32%,Upgrade
EBITDA,155.78,151.58,70.45,56.88,95.08,108.14,103.97,109.85,80.84,69.26,Upgrade
EBITDA Margin,57.48%,58.31%,39.46%,32.83%,47.18%,51.65%,52.61%,52.98%,47.21%,52.09%,Upgrade
Depreciation & Amortization,15.06,16.09,10.95,9.53,11.11,12.85,14.58,17.85,8.7,6.67,Upgrade
EBIT,140.73,135.49,59.5,47.35,83.97,95.28,89.39,92.01,72.14,62.59,Upgrade
EBIT Margin,51.93%,52.12%,33.32%,27.33%,41.66%,45.51%,45.23%,44.38%,42.12%,47.07%,Upgrade
