Year,2022,2021,2020,2019,2018,2017
Revenue,"58,115.73","61,834.91","52,045.72","47,833.77","40,499.56","27,818.99"
Revenue Growth (YoY),-6.01%,18.81%,8.81%,18.11%,45.58%,-
Gross Profit,"58,115.73","61,834.91","52,045.72","47,833.77","40,499.56","27,818.99"
"Selling, General & Admin","18,587.04","21,552.4","20,789.1","17,784.15","13,563.06","10,273.49"
Other Operating Expenses,"25,276.43","15,886.82","10,481.46","9,095.88","7,386.97","7,885.25"
Operating Expenses,"43,863.47","37,439.21","31,270.57","26,880.02","20,950.04","18,158.74"
Operating Income,"14,252.26","24,395.69","20,775.16","20,953.75","19,549.52","9,660.25"
Interest Expense / Income,"1,238.99",995.52,"2,865.65","1,519.91",900.26,"1,296.53"
Other Expense / Income,75.67,-95.32,-77.87,-15.29,-43.99,61.53
Pretax Income,"12,937.6","23,495.5","17,987.38","19,449.13","18,693.25","8,302.18"
Income Tax,"4,238.23","6,691.12","5,633.27","6,116.7","5,073.33","2,336.72"
Net Income,"8,699.37","16,804.38","12,354.11","13,332.43","13,619.93","5,965.46"
Net Income Growth,-48.23%,36.02%,-7.34%,-2.11%,128.31%,-
Shares Outstanding (Basic),"1,144","1,231","1,220","1,220",-,-
Shares Change,-7.06%,0.94%,-,-,-,-
EPS (Basic),3.80,7.11,5.59,6.13,6.33,2.80
EPS (Diluted),3.79,6.69,5.55,6.13,6.33,2.80
EPS Growth,-43.35%,20.54%,-9.54%,-3.00%,125.89%,-
Free Cash Flow Per Share,1.90,1.96,2.84,0.83,-,-
Dividend Per Share,0.470,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,24.52%,39.45%,39.92%,43.81%,48.27%,34.73%
Profit Margin,14.97%,27.18%,23.74%,27.87%,33.63%,21.44%
Free Cash Flow Margin,7.49%,7.82%,13.29%,4.22%,-4.14%,7.96%
Effective Tax Rate,32.76%,28.48%,31.32%,31.45%,27.14%,28.15%
EBITDA,"14,176.59","24,491.01","20,853.03","20,969.04","19,593.52","10,550.18"
EBITDA Margin,24.39%,39.61%,40.07%,43.84%,48.38%,37.92%
Depreciation & Amortization,0,0,0,0,0,951.46
EBIT,"14,176.59","24,491.01","20,853.03","20,969.04","19,593.52","9,598.72"
EBIT Margin,24.39%,39.61%,40.07%,43.84%,48.38%,34.50%
