Year,2022,2021,2020,2019,2018,2017,2016,2015
Revenue,119.42,87.39,91.18,73.39,64.65,51.51,43.64,42.09
Revenue Growth (YoY),36.65%,-4.16%,24.25%,13.52%,25.51%,18.05%,3.68%,-
Cost of Revenue,22.4,22.79,21.14,16.69,15.62,11.88,8.3,9.79
Gross Profit,97.02,64.6,70.04,56.7,49.03,39.63,35.34,32.3
"Selling, General & Admin",6.7,6.13,6.7,6.04,4.96,4.3,4.47,4.35
Other Operating Expenses,0,0,0,0,0,0,0,-0.3
Operating Expenses,6.7,6.13,6.7,6.04,4.96,4.3,4.47,4.05
Operating Income,90.32,58.48,63.35,50.66,44.07,35.33,30.87,28.24
Interest Expense / Income,26.76,17.37,15.49,12.41,9.08,9.06,7.86,6.29
Other Expense / Income,83.63,-35.45,12.55,6.5,-1.57,7.04,11.89,6.44
Pretax Income,-20.07,76.56,35.31,31.76,36.56,19.23,11.13,15.52
Net Income,-20.07,76.56,35.31,31.76,36.56,19.23,11.13,15.52
Net Income Growth,-,116.84%,11.18%,-13.14%,90.16%,72.81%,-28.32%,-
Shares Outstanding (Basic),33,31,31,25,20,16,16,15
Shares Outstanding (Diluted),33,31,31,25,20,16,16,15
Shares Change,5.67%,1.21%,23.03%,21.26%,25.51%,1.01%,7.44%,-
EPS (Basic),-0.61,2.47,1.16,1.28,1.78,1.18,0.69,1.03
EPS (Diluted),-0.61,2.47,1.16,1.28,1.78,1.18,0.69,1.03
EPS Growth,-,112.93%,-9.38%,-28.09%,50.85%,71.01%,-33.01%,-
Free Cash Flow Per Share,-3.09,-4.68,2.08,-7.55,-0.87,1.54,-5.69,0.01
Dividend Per Share,1.550,1.440,1.540,1.440,1.540,1.440,1.440,1.440
Dividend Growth,7.64%,-6.49%,6.94%,-6.49%,6.94%,0%,0%,-
Gross Margin,81.24%,73.92%,76.82%,77.26%,75.85%,76.93%,80.98%,76.74%
Operating Margin,75.63%,66.91%,69.47%,69.03%,68.17%,68.58%,70.75%,67.11%
Profit Margin,-16.81%,87.60%,38.72%,43.27%,56.56%,37.33%,25.50%,36.88%
Free Cash Flow Margin,-84.48%,-165.55%,69.82%,-255.55%,-27.57%,48.73%,-210.87%,0.34%
EBITDA,6.69,93.93,50.8,44.16,45.64,28.29,18.99,21.81
EBITDA Margin,5.60%,107.48%,55.71%,60.18%,70.60%,54.92%,43.51%,51.81%
EBIT,6.69,93.93,50.8,44.16,45.64,28.29,18.99,21.81
EBIT Margin,5.60%,107.48%,55.71%,60.18%,70.60%,54.92%,43.51%,51.81%
