Year,2022,2021,2020,2019,2018,2017
Revenue,1.67,0.94,0.65,3.08,5.31,3.64
Revenue Growth (YoY),77.95%,45.23%,-79.05%,-42.00%,46.01%,-
Cost of Revenue,0.66,0,0,0,0,0
Gross Profit,1.01,0.94,0.65,3.08,5.31,3.64
"Selling, General & Admin",3.22,3.36,5.54,2.34,2.58,2.71
Other Operating Expenses,0,0,1.5,0.07,0,0
Operating Expenses,3.22,3.36,7.04,2.41,2.58,2.71
Operating Income,-2.21,-2.42,-6.4,0.67,2.73,0.93
Interest Expense / Income,0,0,0,0,-0.02,0
Other Expense / Income,0.7,6.14,8.48,-0.03,0.08,0.07
Pretax Income,-2.91,-8.56,-14.88,0.71,2.66,0.86
Income Tax,0,0,0,0.28,0.72,0.22
Net Income,-2.91,-8.56,-14.88,0.43,1.95,0.64
Net Income Growth,-,-,-,-77.95%,203.74%,-
Shares Outstanding (Basic),10,9,8,7,7,7
Shares Outstanding (Diluted),10,9,8,7,7,7
Shares Change,0.30%,19.16%,12.01%,1.49%,-,-
EPS (Basic),-0.31,-0.90,-1.87,0.06,0.30,0.10
EPS (Diluted),-0.31,-0.90,-1.87,0.06,0.30,0.10
EPS Growth,-,-,-,-80.00%,200.00%,-
Free Cash Flow Per Share,0.00,-0.29,-0.85,-0.46,0.29,0.02
Gross Margin,60.42%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,-132.76%,-258.49%,-991.93%,21.81%,51.39%,25.45%
Profit Margin,-174.56%,-914.02%,-2306.94%,13.94%,36.68%,17.63%
Free Cash Flow Margin,2.07%,-296.02%,-1049.12%,-106.77%,37.86%,3.82%
Effective Tax Rate,-,-,-,39.21%,26.91%,25.29%
EBITDA,-2.33,-7.84,-14.49,0.76,2.66,0.87
EBITDA Margin,-139.59%,-836.96%,-2246.24%,24.57%,50.19%,23.91%
Depreciation & Amortization,0.58,0.72,0.39,0.05,0.02,0.01
EBIT,-2.91,-8.56,-14.88,0.71,2.65,0.86
EBIT Margin,-174.56%,-914.02%,-2306.94%,22.93%,49.88%,23.60%
