Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2009
Revenue,"81,866.9","76,395.57","57,432.14","73,943.35","64,959.16","68,444.81","96,371.93","66,507.26","68,027.29","57,749.38",Upgrade
Revenue Growth (YoY),7.16%,33.02%,-22.33%,13.83%,-5.09%,-28.98%,44.90%,-2.23%,17.80%,-4.45%,Upgrade
Gross Profit,"81,866.9","76,395.57","57,432.14","73,943.35","64,959.16","68,444.81","96,371.93","66,507.26","68,027.29","57,749.38",Upgrade
"Selling, General & Admin","39,193.88","36,006.85","34,449.6","37,633.15","34,455.76","37,605.73","33,153.35","27,780.02","26,639.16","24,505.96",Upgrade
Other Operating Expenses,"46,953.21","33,990.87","44,288.55","49,467.88","36,573.35","31,562.76","33,012.85","30,651.71","23,447.16","19,986.94",Upgrade
Operating Expenses,"86,147.09","69,997.71","78,738.15","87,101.03","71,029.11","69,168.49","66,166.2","58,431.73","50,086.32","44,492.9",Upgrade
Operating Income,"-4,280.18","6,397.86","-21,306.02","-13,157.68","-6,069.95",-723.68,"30,205.73","8,075.53","17,940.98","13,256.48",Upgrade
Other Expense / Income,"-28,256.63","-26,246.03","-25,184.21","-26,388.57","-25,347.44","-24,242","-1,601.25","-1,423.05","-1,288.28",-972.47,Upgrade
Pretax Income,"23,976.44","32,643.89","3,878.2","13,230.89","19,277.49","23,518.32","31,806.98","9,498.58","19,229.26","14,228.95",Upgrade
Income Tax,"2,992.75","9,471.56","-11,958.67","-7,792.13","2,693.58","6,428.96","13,912.73","-8,634.32","3,914.31","1,833.03",Upgrade
Net Income,"20,983.69","23,172.32","15,836.86","21,023.02","16,583.92","17,089.36","17,894.25","18,132.91","15,314.94","12,395.92",Upgrade
Net Income Growth,-9.45%,46.32%,-24.67%,26.77%,-2.96%,-4.50%,-1.32%,18.40%,23.55%,9.78%,Upgrade
Shares Outstanding (Basic),"9,690","9,770","9,720","8,100","8,836","9,720","8,840","8,131","9,757","8,853",Upgrade
Shares Change,-0.82%,0.52%,20.00%,-8.33%,-9.10%,9.96%,8.72%,-16.67%,10.22%,-9.10%,Upgrade
EPS (Basic),1.87,2.07,1.41,2.06,1.63,1.68,2.11,1.96,1.50,1.33,Upgrade
EPS (Diluted),1.87,2.07,1.41,2.06,1.63,1.68,2.11,1.96,1.50,1.33,Upgrade
EPS Growth,-9.66%,46.81%,-31.55%,26.61%,-3.04%,-20.36%,7.72%,30.66%,12.39%,0.53%,Upgrade
Free Cash Flow Per Share,4.12,-10.50,14.55,-2.63,-0.96,3.51,5.84,-7.79,8.15,11.01,Upgrade
Dividend Per Share,0.082,0.177,0.116,0.407,0.213,0.255,0.253,0.267,0.327,0.233,Upgrade
Dividend Growth,-53.67%,52.59%,-71.50%,91.08%,-16.47%,0.79%,-5.24%,-18.35%,40.34%,-17.08%,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,-5.23%,8.37%,-37.10%,-17.79%,-9.34%,-1.06%,31.34%,12.14%,26.37%,22.96%,Upgrade
Profit Margin,25.63%,30.33%,27.57%,28.43%,25.53%,24.97%,18.57%,27.26%,22.51%,21.47%,Upgrade
Free Cash Flow Margin,48.76%,-134.33%,246.26%,-28.76%,-13.12%,49.82%,53.61%,-95.22%,116.87%,168.77%,Upgrade
Effective Tax Rate,12.48%,29.01%,-308.36%,-58.89%,13.97%,27.34%,43.74%,-90.90%,20.36%,12.88%,Upgrade
EBITDA,"29,639.66","38,416.79","9,799.23","19,096.66","24,085.75","28,086.89","35,464.13","12,440.59","22,161.94","16,969.78",Upgrade
EBITDA Margin,36.20%,50.29%,17.06%,25.83%,37.08%,41.04%,36.80%,18.71%,32.58%,29.39%,Upgrade
Depreciation & Amortization,"5,663.22","5,772.9","5,921.03","5,865.77","4,808.26","4,568.57","3,657.15","2,942","2,932.69","2,740.83",Upgrade
EBIT,"23,976.44","32,643.89","3,878.2","13,230.89","19,277.49","23,518.32","31,806.98","9,498.58","19,229.26","14,228.95",Upgrade
EBIT Margin,29.29%,42.73%,6.75%,17.89%,29.68%,34.36%,33.00%,14.28%,28.27%,24.64%,Upgrade
