Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Revenue,"1,025.51",991.95,"1,052.3",717.64,580.25,499.28,499.43,405.94,401.07,396.95,Upgrade
Revenue Growth (YoY),3.38%,-5.74%,46.63%,23.68%,16.22%,-0.03%,23.03%,1.21%,1.04%,11.94%,Upgrade
Gross Profit,"1,025.51",991.95,"1,052.3",717.64,580.25,499.28,499.43,405.94,401.07,396.95,Upgrade
"Selling, General & Admin",773.69,729.07,762.7,594.57,508.13,462.07,446.1,389.4,374.35,394.29,Upgrade
Other Operating Expenses,50.35,43.43,41.64,40.88,30.61,27.16,38.84,22.48,19.19,16.47,Upgrade
Operating Expenses,824.03,772.5,804.34,635.45,538.74,489.23,484.93,411.87,393.53,410.75,Upgrade
Operating Income,201.47,219.45,247.96,82.19,41.51,10.05,14.5,-5.94,7.54,-13.8,Upgrade
Other Expense / Income,74.24,83.79,94.88,34.23,15.39,4.23,8.14,-13.75,-,-,Upgrade
Pretax Income,127.23,135.66,153.08,47.97,26.13,5.83,6.36,7.82,7.54,-13.8,Upgrade
Income Tax,36.7,29.49,35.54,18.4,-1.05,38.38,9.39,0.24,3.05,3.37,Upgrade
Net Income,90.53,106.17,117.55,29.56,27.17,-32.55,-3.03,7.58,4.49,-17.17,Upgrade
Net Income Growth,-14.73%,-9.68%,297.64%,8.80%,-,-,-,68.66%,-,-,Upgrade
Shares Outstanding (Basic),25,25,24,24,22,19,18,18,18,-,Upgrade
Shares Outstanding (Diluted),27,42,43,25,24,19,18,18,18,-,Upgrade
Shares Change,-37.16%,-1.78%,72.41%,3.14%,28.61%,3.09%,0.19%,0.04%,-,-,Upgrade
EPS (Basic),3.61,4.25,4.80,1.23,1.23,-1.73,-0.17,-0.61,-0.63,-,Upgrade
EPS (Diluted),3.51,3.99,4.40,1.21,1.16,-1.73,-0.17,-0.61,-0.63,-,Upgrade
EPS Growth,-12.03%,-9.32%,263.64%,4.31%,-,-,-,-,-,-,Upgrade
Free Cash Flow Per Share,9.54,4.71,18.80,8.43,5.29,5.84,5.67,4.28,2.74,-,Upgrade
Dividend Per Share,1.000,3.200,0.200,0.200,0.200,0.200,0.200,-,-,-,Upgrade
Dividend Growth,-68.75%,1500.00%,0%,0%,0%,0%,-,-,-,-,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,19.65%,22.12%,23.56%,11.45%,7.15%,2.01%,2.90%,-1.46%,1.88%,-3.48%,Upgrade
Profit Margin,8.83%,10.70%,11.17%,4.12%,4.68%,-6.52%,-0.61%,1.87%,1.12%,-4.33%,Upgrade
Free Cash Flow Margin,23.33%,11.86%,43.77%,28.21%,19.95%,22.06%,20.78%,19.23%,12.46%,12.64%,Upgrade
Effective Tax Rate,28.84%,21.74%,23.21%,38.37%,-4.00%,658.77%,147.72%,3.06%,40.41%,-,Upgrade
EBITDA,163.44,170.59,189.44,80.77,36.1,13.97,20.38,22.58,15.31,-5.03,Upgrade
EBITDA Margin,15.94%,17.20%,18.00%,11.26%,6.22%,2.80%,4.08%,5.56%,3.82%,-1.27%,Upgrade
Depreciation & Amortization,36.21,34.93,36.36,32.81,9.97,8.14,14.03,14.76,7.77,8.78,Upgrade
EBIT,127.23,135.66,153.08,47.97,26.13,5.83,6.36,7.82,7.54,-13.8,Upgrade
EBIT Margin,12.41%,13.68%,14.55%,6.68%,4.50%,1.17%,1.27%,1.93%,1.88%,-3.48%,Upgrade
