Year,2022,2021,2020,2019
"Selling, General & Admin",1.2,0.67,0.15,-
Operating Expenses,1.2,0.67,0.15,-
Operating Income,-1.2,-0.67,-0.15,-
Other Expense / Income,-0.23,-0.07,0.17,-
Pretax Income,-0.97,-0.6,-0.32,-
Net Income,-0.97,-0.6,-0.32,-
Shares Outstanding (Basic),5,6,4,1
Shares Outstanding (Diluted),5,6,4,-
Shares Change,-24.13%,65.28%,557.01%,-
EPS (Basic),-0.21,-0.10,-0.09,-
EPS (Diluted),-0.21,-0.10,-0.09,-
Free Cash Flow Per Share,-0.24,-0.07,-0.04,-0.04
EBITDA,-0.97,-0.6,-0.32,-
EBIT,-0.97,-0.6,-0.32,-
